"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Juan Schiaretti por Juntos por el Cambio","Jose Luis Espert por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.135,0.352,0.767,0.076,0.065,0.146,0.058,0.057,0.07
"P30","Javier Milei por la Libertad Avanza",0.018,0.22,0.066,0.744,0.06,0.655,0.05,0.038,0.049
"P30","Al candidato del Frente de Izquierda",0.017,0.014,0.013,0.028,0.037,0.01,0.608,0.054,0.031
"P30","En blanco",0.022,0.103,0.036,0.046,0.027,0.038,0.051,0.454,0.061
"P30","No sabe",0.03,0.274,0.049,0.053,0.021,0.119,0.056,0.286,0.503
"P31","Sergio Massa  por el Frente de Todos",0.784,0.029,0.099,0.041,0.8,0.036,0.219,0.111,0.315
"P31","Patricia Bullrich por Juntos por el Cambio",0.109,0.836,0.487,0.07,0.088,0.369,0.039,0.043,0.054
"P31","Javier Milei por la Libertad Avanza",0.015,0.044,0.086,0.738,0.047,0.553,0.017,0.027,0.051
"P31","Al candidato del Frente de Izquierda",0.02,0.005,0.012,0.022,0.02,0.004,0.648,0.031,0.044
"P31","En blanco",0.027,0.024,0.143,0.041,0.012,0.01,0.027,0.569,0.071
"P31","No sabe",0.045,0.062,0.173,0.088,0.033,0.028,0.05,0.219,0.465
"P32","Wado de Pedro por el Frente de Todos",0.717,0.023,0.091,0.046,0.698,0.013,0.491,0.285,0.514
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.161,0.411,0.759,0.063,0.085,0.186,0.047,0.032,0.057
"P32","Javier Milei por la Libertad Avanza",0.025,0.23,0.058,0.781,0.076,0.66,0.006,0.07,0.065
"P32","Al candidato del Frente de Izquierda",0.016,0.009,0.002,0.006,0.023,0.003,0.359,0.012,0.013
"P32","En blanco",0.016,0.12,0.045,0.04,0.04,0.041,0.065,0.502,0.047
"P32","No sabe",0.065,0.207,0.045,0.064,0.078,0.097,0.032,0.099,0.304
"P33","Wado de Pedro por el Frente de Todos",0.716,0.023,0.074,0.048,0.742,0.029,0.493,0.274,0.527
"P33","Patricia Bullrich por Juntos por el Cambio",0.115,0.868,0.53,0.075,0.09,0.383,0.046,0.037,0.057
"P33","Javier Milei por la Libertad Avanza",0.018,0.047,0.059,0.779,0.037,0.546,0.009,0.104,0.048
"P33","Al candidato del Frente de Izquierda",0.019,0.002,0.023,0.009,0.024,0.002,0.382,0.028,0.009
"P33","En blanco",0.03,0.027,0.142,0.032,0.053,0.014,0.054,0.404,0.068
"P33","No sabe",0.102,0.033,0.172,0.057,0.054,0.026,0.016,0.153,0.291
"P34","Daniel Scioli por el Frente de Todos",0.614,0.047,0.042,0.054,0.687,0.022,0.197,0.198,0.355
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.163,0.436,0.795,0.055,0.066,0.175,0.073,0.009,0.07
"P34","Javier Milei por la Libertad Avanza",0.028,0.228,0.05,0.786,0.076,0.663,0.01,0.045,0.026
"P34","Al candidato del Frente de Izquierda",0.029,0.006,0.02,0.028,0.042,0.008,0.586,0.032,0.04
"P34","En blanco",0.047,0.106,0.042,0.038,0.058,0.039,0.067,0.594,0.093
"P34","No sabe",0.119,0.177,0.051,0.039,0.071,0.093,0.067,0.122,0.416
"P35","Daniel Scioli por el Frente de Todos",0.616,0.035,0.078,0.063,0.72,0.025,0.201,0.215,0.339
"P35","Patricia Bullrich por Juntos por el Cambio",0.111,0.869,0.547,0.065,0.092,0.37,0.05,0.034,0.059
"P35","Javier Milei por la Libertad Avanza",0.027,0.048,0.066,0.779,0.029,0.557,0.005,0.041,0.039
"P35","Al candidato del Frente de Izquierda",0.054,0.001,0.01,0.02,0.038,0.002,0.601,0.045,0.05
"P35","En blanco",0.057,0.02,0.136,0.026,0.049,0.02,0.049,0.512,0.093
"P35","No sabe",0.135,0.027,0.163,0.047,0.072,0.026,0.094,0.153,0.42
"P36","Axel Kicillof por el Frente de Todos",0.699,0.038,0.038,0.04,0.769,0.019,0.425,0.369,0.504
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.165,0.448,0.81,0.051,0.096,0.187,0.047,0.05,0.071
"P36","Javier Milei por la Libertad Avanza",0.023,0.249,0.065,0.825,0.059,0.658,0.007,0.056,0.037
"P36","Al candidato del Frente de Izquierda",0.019,0.007,0.006,0.01,0.022,0.006,0.433,0.004,0.021
"P36","En blanco",0.026,0.088,0.047,0.022,0.011,0.051,0.028,0.395,0.07
"P36","No sabe",0.068,0.17,0.034,0.052,0.043,0.079,0.06,0.126,0.297
"P37","Axel Kicillof por el Frente de Todos",0.725,0.045,0.083,0.051,0.777,0.023,0.428,0.362,0.507
"P37","Patricia Bullrich por Juntos por el Cambio",0.122,0.853,0.557,0.052,0.096,0.378,0.018,0.027,0.063
"P37","Javier Milei por la Libertad Avanza",0.021,0.054,0.091,0.795,0.069,0.546,0.005,0.062,0.032
"P37","Al candidato del Frente de Izquierda",0.021,0.005,0.025,0.012,0.005,0.004,0.493,0.01,0.029
"P37","En blanco",0.029,0.009,0.145,0.03,0.026,0.023,0.023,0.472,0.078
"P37","No sabe",0.082,0.034,0.099,0.06,0.027,0.026,0.033,0.067,0.291
