"var","categoria","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P38","No sabe",0.039,0.131,0.215,0.245,0.075,0.247,0.116,0.277,0.521
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.12,0.047,0.192,0.581,0.847,0.334,0.052,0.106,0.171
"P39","Wado de Pedro por el Frente de Todos",0.687,0.911,0.439,0.036,0.057,0.056,0.421,0.059,0.209
"P39","En blanco",0.084,0.015,0.223,0.164,0.047,0.42,0.427,0.777,0.116
"P39","No sabe",0.109,0.027,0.146,0.219,0.049,0.19,0.1,0.058,0.504
"P40","Patricia Bullrich por Juntos por el Cambio",0.089,0.055,0.183,0.916,0.692,0.632,0.055,0.123,0.141
"P40","Sergio Massa por el Frente de Todos",0.86,0.791,0.491,0.031,0.098,0.059,0.286,0.137,0.254
"P40","En blanco",0.022,0.069,0.177,0.021,0.108,0.204,0.546,0.669,0.146
"P40","No sabe",0.029,0.085,0.149,0.032,0.102,0.105,0.113,0.071,0.459
"P41","Patricia Bullrich por Juntos por el Cambio",0.146,0.057,0.209,0.943,0.687,0.686,0.056,0.123,0.144
"P41","Wado de Pedro  por el Frente de Todos",0.695,0.915,0.48,0.026,0.077,0.046,0.433,0.145,0.182
"P41","En blanco",0.061,0.011,0.209,0.019,0.138,0.172,0.438,0.69,0.09
"P41","No sabe",0.098,0.017,0.102,0.012,0.098,0.096,0.073,0.042,0.584
"P42","Patricia Bullrich por Juntos por el Cambio",0.125,0.055,0.132,0.945,0.688,0.679,0.057,0.195,0.132
"P42","Daniel Scioli por el Frente de Todos",0.652,0.731,0.766,0.019,0.101,0.053,0.323,0.082,0.192
"P42","En blanco",0.1,0.109,0.04,0.017,0.114,0.177,0.529,0.682,0.137
"P42","No sabe",0.123,0.105,0.062,0.019,0.097,0.091,0.091,0.041,0.539
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.126,0.067,0.095,0.625,0.825,0.371,0.063,0.105,0.157
"P43","Daniel Scioli por el Frente de Todos",0.645,0.716,0.82,0.025,0.058,0.055,0.258,0.149,0.21
"P43","En blanco",0.12,0.112,0.036,0.166,0.062,0.409,0.592,0.708,0.118
"P43","No sabe",0.109,0.105,0.049,0.184,0.055,0.165,0.087,0.038,0.515
"P44","Patricia Bullrich por Juntos por el Cambio",0.114,0.057,0.173,0.917,0.7,0.637,0.067,0.147,0.161
"P44","Axel Kicillof por el Frente de Todos",0.737,0.887,0.587,0.02,0.071,0.051,0.421,0.126,0.243
"P44","En blanco",0.058,0.014,0.149,0.04,0.129,0.205,0.451,0.654,0.118
"P44","No sabe",0.091,0.042,0.091,0.023,0.1,0.107,0.061,0.073,0.478
