"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.872,0.056,0.023,0.213,0.285,0.299
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.06,0.6,0.073,0.123,0.222,0.159
"P35","Javier Milei por los liberales libertarios",0.002,0.196,0.868,0.054,0.012,0.033
"P35","Nicolás del Caño por la izquierda",0.017,0.001,0,0.557,0.002,0.019
"P35","Otro candidato",0.031,0.102,0.022,0.049,0.403,0.04
"P35","Aún no lo tengo decidido",0.018,0.045,0.014,0.004,0.076,0.45
"P36","Sergio Massa por el Frente de Todos",0.751,0.029,0.029,0.21,0.246,0.19
"P36","Mauricio Macri por Juntos por el Cambio",0.026,0.732,0.067,0.079,0.096,0.134
"P36","Javier Milei por los liberales libertarios",0.005,0.11,0.882,0.027,0.019,0.036
"P36","Nicolás del Caño por la izquierda",0.036,0.003,0.001,0.654,0.02,0.014
"P36","Otro candidato",0.129,0.079,0.011,0.026,0.519,0.075
"P36","Aún no lo tengo decidido",0.053,0.047,0.01,0.004,0.1,0.551
"P37","Wado de Pedro por el Frente de Todos",0.922,0.009,0.003,0.062,0.064,0.058
"P37","Mauricio Macri por Juntos por el Cambio",0.019,0.78,0.055,0.012,0.082,0.096
"P37","Javier Milei por los liberales libertarios",0.009,0.097,0.913,0.013,0.025,0.033
"P37","Nicolás del Caño por la izquierda",0.002,0.004,0.006,0.77,0.024,0.002
"P37","Otro candidato",0.025,0.074,0.008,0.123,0.705,0.077
"P37","Aún no lo tengo decidido",0.023,0.036,0.015,0.02,0.1,0.734
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.913,0.015,0.011,0.3,0.265,0.281
"P39","Patricia Bullrich por Juntos por el Cambio",0.024,0.927,0.049,0.034,0.065,0.1
"P39","Javier Milei por los liberales libertarios",0.005,0.023,0.918,0.039,0.019,0.022
"P39","Nicolás del Caño por la izquierda",0.005,0.008,0.004,0.613,0.005,0.004
"P39","Otro candidato",0.028,0.017,0.008,0.014,0.589,0.035
"P39","Aún no lo tengo decidido",0.025,0.01,0.01,0,0.057,0.558
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.853,0.104,0.041,0.606,0.347,0.38
"P40","Mauricio Macri por Juntos por el Cambio",0.119,0.797,0.474,0.092,0.257,0.182
"P40","No sabe",0.028,0.099,0.485,0.302,0.396,0.438
"P41","Wado de Pedro por el Frente de Todos",0.923,0.026,0.015,0.421,0.162,0.121
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.792,0.397,0.149,0.348,0.209
"P41","No sabe",0.04,0.182,0.588,0.43,0.49,0.67
"P42","Sergio Massa por el Frente de Todos",0.822,0.028,0.062,0.509,0.3,0.191
"P42","Patricia Bullrich por Juntos por el Cambio",0.041,0.933,0.548,0.044,0.199,0.179
"P42","No sabe",0.137,0.039,0.39,0.447,0.501,0.63
"P43","Sergio Massa por el Frente de Todos",0.843,0.03,0.044,0.453,0.366,0.224
"P43","Mauricio Macri por Juntos por el Cambio",0.034,0.878,0.566,0.08,0.245,0.192
"P43","No sabe",0.123,0.092,0.39,0.467,0.389,0.584
"P44","Sergio Massa por el Frente de Todos",0.844,0.033,0.022,0.443,0.331,0.243
"P44","Javier Milei por los liberales libertarios",0.027,0.59,0.868,0.052,0.164,0.098
"P44","No sabe",0.129,0.377,0.11,0.505,0.505,0.659
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.43,0.332,0.05,0.309,0.319,0.227
"P45","Javier Milei por los liberales libertarios",0.036,0.404,0.892,0.041,0.124,0.106
"P45","No sabe",0.534,0.264,0.058,0.65,0.557,0.667
"P46","Patricia Bullrich por Juntos por el Cambio",0.079,0.889,0.512,0.083,0.199,0.244
"P46","Wado de Pedro por el Frente de Todos",0.798,0.05,0.168,0.414,0.2,0.09
"P46","No sabe",0.123,0.061,0.32,0.503,0.601,0.666
"P47","Patricia Bullrich por Juntos por el Cambio",0.052,0.967,0.632,0.061,0.248,0.261
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.918,0.013,0.044,0.62,0.344,0.339
"P47","No sabe",0.03,0.02,0.324,0.319,0.408,0.4
"P48","Muy buena",0.132,0.121,0.086,0.043,0.134,0.063
"P48","Buena",0.457,0.006,0.025,0.244,0.095,0.1
"P48","Ni buena ni mala",0.275,0.031,0.095,0.359,0.233,0.293
"P48","Mala",0.107,0.069,0.058,0.17,0.171,0.209
"P48","Muy mala",0.026,0.771,0.734,0.169,0.353,0.289
"P48","No sabe",0.003,0.002,0.002,0.015,0.014,0.046
"P49","Muy buena",0.145,0.016,0.019,0.062,0.077,0.053
"P49","Buena",0.358,0.005,0.017,0.287,0.102,0.137
"P49","Ni buena ni mala",0.345,0.024,0.061,0.303,0.214,0.295
"P49","Mala",0.108,0.13,0.072,0.196,0.175,0.178
"P49","Muy mala",0.043,0.817,0.82,0.137,0.412,0.316
"P49","No sabe",0.001,0.008,0.011,0.015,0.02,0.021
"P50","Muy buena",0.71,0.015,0.017,0.223,0.236,0.193
"P50","Buena",0.158,0.004,0.024,0.226,0.083,0.139
"P50","Ni buena ni mala",0.08,0.014,0.035,0.284,0.087,0.185
"P50","Mala",0.028,0.059,0.045,0.109,0.093,0.079
"P50","Muy mala",0.023,0.906,0.878,0.143,0.495,0.373
"P50","No sabe",0.001,0.002,0.001,0.015,0.006,0.031
"P51","Muy buena",0.118,0.341,0.075,0.038,0.099,0.094
"P51","Buena",0.028,0.317,0.191,0.079,0.103,0.12
"P51","Ni buena ni mala",0.023,0.139,0.271,0.077,0.193,0.194
"P51","Mala",0.141,0.052,0.198,0.236,0.212,0.196
"P51","Muy mala",0.687,0.15,0.262,0.555,0.38,0.335
"P51","No sabe",0.003,0.001,0.003,0.015,0.013,0.061
"P52","Muy buena",0.03,0.285,0.094,0.064,0.067,0.087
"P52","Buena",0.022,0.367,0.174,0.114,0.187,0.141
"P52","Ni buena ni mala",0.087,0.238,0.228,0.094,0.334,0.261
"P52","Mala",0.194,0.071,0.187,0.2,0.119,0.132
"P52","Muy mala",0.659,0.035,0.307,0.481,0.258,0.2
"P52","No sabe",0.008,0.004,0.01,0.047,0.035,0.179
"P53","Muy buena",0.191,0.04,0.036,0.111,0.069,0.073
"P53","Buena",0.355,0.064,0.026,0.139,0.187,0.129
"P53","Ni buena ni mala",0.253,0.094,0.117,0.212,0.248,0.252
"P53","Mala",0.093,0.159,0.168,0.259,0.156,0.178
"P53","Muy mala",0.104,0.639,0.648,0.232,0.323,0.251
"P53","No sabe",0.004,0.004,0.005,0.047,0.017,0.117
"P54","Muy buena",0.05,0.556,0.164,0.042,0.062,0.115
"P54","Buena",0.036,0.274,0.264,0.091,0.113,0.087
"P54","Ni buena ni mala",0.079,0.051,0.26,0.066,0.278,0.204
"P54","Mala",0.102,0.025,0.092,0.183,0.191,0.212
"P54","Muy mala",0.728,0.085,0.205,0.587,0.349,0.282
"P54","No sabe",0.005,0.009,0.015,0.031,0.007,0.1
"P55","Muy buena",0.019,0.156,0.611,0.014,0.059,0.022
"P55","Buena",0.022,0.265,0.239,0.075,0.07,0.105
"P55","Ni buena ni mala",0.061,0.352,0.131,0.15,0.277,0.323
"P55","Mala",0.122,0.12,0.004,0.133,0.218,0.135
"P55","Muy mala",0.77,0.085,0.013,0.628,0.325,0.268
"P55","No sabe",0.006,0.022,0.002,0,0.051,0.147
"P56","Muy buena",0.003,0.33,0.223,0.078,0.103,0.095
"P56","Buena",0.022,0.351,0.21,0.059,0.149,0.098
"P56","Ni buena ni mala",0.049,0.209,0.19,0.078,0.223,0.235
"P56","Mala",0.159,0.064,0.138,0.214,0.192,0.193
"P56","Muy mala",0.754,0.035,0.231,0.571,0.31,0.267
"P56","No sabe",0.013,0.011,0.008,0,0.023,0.112
"P57","Muy buena",0.431,0.052,0.044,0.092,0.048,0.03
"P57","Buena",0.307,0.055,0.061,0.116,0.113,0.078
"P57","Ni buena ni mala",0.111,0.158,0.201,0.444,0.282,0.284
"P57","Mala",0.042,0.192,0.106,0.119,0.214,0.181
"P57","Muy mala",0.091,0.506,0.483,0.194,0.248,0.204
"P57","No sabe",0.018,0.037,0.105,0.035,0.095,0.223
"P58","Muy buena",0.098,0.077,0.08,0.081,0.14,0.056
"P58","Buena",0.13,0.176,0.084,0.135,0.17,0.143
"P58","Ni buena ni mala",0.319,0.338,0.356,0.334,0.308,0.362
"P58","Mala",0.204,0.192,0.121,0.148,0.158,0.108
"P58","Muy mala",0.202,0.189,0.268,0.169,0.146,0.114
"P58","No sabe",0.047,0.028,0.091,0.133,0.078,0.217
"P59","Muy buena",0.02,0.098,0.05,0.012,0.087,0.011
"P59","Buena",0.029,0.237,0.078,0.086,0.106,0.079
"P59","Ni buena ni mala",0.174,0.35,0.284,0.265,0.28,0.44
"P59","Mala",0.184,0.127,0.154,0.16,0.153,0.105
"P59","Muy mala",0.542,0.131,0.275,0.264,0.223,0.156
"P59","No sabe",0.051,0.057,0.159,0.213,0.151,0.209
"P60","Siempre",0.323,0.29,0.23,0.33,0.236,0.222
"P60","Casi siempre",0.388,0.378,0.387,0.451,0.391,0.381
"P60","Casi nunca",0.213,0.24,0.236,0.095,0.263,0.262
"P60","Nunca, pero esta es una excepción",0.076,0.092,0.147,0.124,0.11,0.135
"P61","Si",0.633,0.543,0.555,0.617,0.549,0.528
"P61","No",0.367,0.457,0.445,0.383,0.451,0.472
