"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ","En blanco","No sabe"
"P34","Nunca lo votaría",0.099,0.749,0.68,0.419,0.462,0.448
"P34","No sabe",0.034,0.019,0.016,0.205,0.076,0.281
"P35","Lo votaría",0.262,0.116,0.113,0.292,0.244,0.215
"P35","Puede que lo vote",0.454,0.181,0.181,0.154,0.379,0.23
"P35","Nunca lo votaría",0.262,0.603,0.674,0.333,0.326,0.352
"P35","No sabe",0.022,0.1,0.032,0.221,0.051,0.203
"P36","La votaría",0.1,0.809,0.402,0.154,0.114,0.199
"P36","Puede que la vote",0.186,0.097,0.302,0.037,0.099,0.151
"P36","Nunca la votaría",0.668,0.092,0.287,0.725,0.672,0.494
"P36","No sabe",0.046,0.002,0.009,0.084,0.115,0.156
"P37","Lo votaría",0.089,0.603,0.214,0.154,0.243,0.217
"P37","Puede que lo vote",0.15,0.227,0.266,0.053,0.239,0.168
"P37","Nunca lo votaría",0.719,0.158,0.476,0.693,0.492,0.435
"P37","No sabe",0.042,0.012,0.044,0.1,0.026,0.18
"P38","Lo votaría",0.073,0.254,0.715,0,0.108,0.187
"P38","Puede que lo vote",0.144,0.338,0.173,0.206,0.22,0.087
"P38","Nunca lo votaría",0.719,0.317,0.112,0.709,0.59,0.575
"P38","No sabe",0.064,0.091,0,0.085,0.082,0.151
"P39","Si",0.437,0.414,0.391,0.328,0.436,0.168
"P39","No",0.563,0.586,0.609,0.672,0.564,0.832
