"var","categoria","A Juntos por el Cambio","Al Frente de Todos","A Hacemos por Córdoba","A los liberales libertarios de Milei","A Encuentro Vecinal Córdoba","Al Frente de Izquierda","No sabe"
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.023,0.02,0.007,0.062,0.53,0,0.084
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.005,0.027,0.008,0.021,0,0.421,0.031
"P51","Votaría en blanco",0.014,0.009,0,0.007,0,0.064,0.078
"P51","No sabe",0.019,0.013,0.029,0.034,0.053,0.093,0.23
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.738,0.133,0.105,0.247,0.141,0.067,0.185
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.077,0.277,0.772,0.137,0.092,0.108,0.187
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.007,0.52,0.017,0.049,0,0.271,0.028
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.044,0,0.026,0.408,0.044,0,0.098
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.042,0.01,0.007,0.074,0.618,0.044,0.129
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.002,0.027,0.002,0.021,0.028,0.403,0.024
"P52","Votaría en blanco",0.025,0,0.006,0.018,0,0.067,0.064
"P52","No sabe",0.065,0.033,0.065,0.046,0.077,0.04,0.285
