"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P48","Lo votaría",0.264,0.144,0.323,0
"P48","Puede que lo vote",0.062,0.297,0.188,0.116
"P48","Nunca lo votaría",0.674,0.559,0.474,0.084
"P48","No sabe",0,0,0.015,0.8
"P49","Lo votaría",0.173,0.103,0.114,0
"P49","Puede que lo vote",0.17,0.313,0.244,0.12
"P49","Nunca lo votaría",0.631,0.541,0.632,0.081
"P49","No sabe",0.026,0.043,0.01,0.799
"P50","Lo votaría",0.285,0.167,0.058,0
"P50","Puede que lo vote",0.233,0.352,0.159,0.121
"P50","Nunca lo votaría",0.482,0.435,0.776,0.081
"P50","No sabe",0,0.046,0.007,0.798
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.215,0.228,0.491,0
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.329,0.412,0.285,0.061
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.383,0.167,0.031,0.142
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.031,0.041,0.068,0
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.004,0.05,0.048,0
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.018,0.072,0.018,0
"P51","Votaría en blanco",0.005,0,0.021,0
"P51","No sabe",0.015,0.03,0.038,0.797
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.204,0.208,0.418,0
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.336,0.404,0.281,0
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.39,0.195,0.029,0.059
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.01,0.029,0.086,0.144
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0,0.064,0.066,0
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.01,0.054,0.019,0
"P52","Votaría en blanco",0.005,0.01,0.024,0
"P52","No sabe",0.045,0.036,0.077,0.797
