"var","categoria","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos","Javier Milei presidente – José Luis Espert  gobernador por los liberales","A los candidatos de la izquierda","Otro candidato"
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.409,0.415,0.432,0.062,0.403
"P37","No sabe",0.191,0.185,0.539,0.49,0.517
"P38","Sergio Massa presidente por el Frente de Todos",0.419,0.428,0.028,0.426,0.209
"P38","Patricia Bullrich por Juntos por el Cambio",0.449,0.477,0.639,0.089,0.323
"P38","No sabe",0.132,0.095,0.333,0.485,0.468
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.501,0.484,0.022,0.454,0.098
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.415,0.444,0.53,0.077,0.441
"P39","No sabe",0.084,0.072,0.448,0.469,0.461
"P40","Sergio Massa presidente por el Frente de Todos",0.439,0.445,0.017,0.495,0.185
"P40","Javier Milei por los liberales libertarios",0.262,0.269,0.86,0.08,0.118
"P40","No sabe",0.299,0.286,0.123,0.425,0.697
"P41","Sergio Massa por el Frente de Todos",0.427,0.422,0.052,0.404,0.171
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.408,0.42,0.522,0.102,0.397
"P41","No sabe",0.165,0.158,0.426,0.494,0.432
"P42","Sergio Massa por el Frente de Todos",0.438,0.449,0.036,0.418,0.222
"P42","Mauricio Macri por Juntos por el Cambio",0.456,0.447,0.61,0.061,0.353
"P42","No sabe",0.106,0.104,0.354,0.521,0.425
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.379,0.379,0.075,0.166,0.387
"P43","Javier Milei por los liberales libertarios",0.172,0.152,0.842,0.116,0.104
"P43","No sabe",0.449,0.469,0.083,0.718,0.509
"P44","Muy buena",0.081,0.109,0.015,0,0.065
"P44","Buena",0.206,0.211,0.136,0.096,0.101
"P44","Ni buena ni mala",0.232,0.17,0.041,0.379,0.175
"P44","Mala",0.087,0.102,0.069,0.27,0.15
"P44","Muy mala",0.393,0.4,0.737,0.255,0.455
"P44","No sabe",0.001,0.008,0.002,0,0.054
"P45","Muy buena",0.097,0.082,0,0,0.015
"P45","Buena",0.181,0.149,0.033,0.112,0.071
"P45","Ni buena ni mala",0.177,0.194,0.041,0.374,0.164
"P45","Mala",0.114,0.137,0.098,0.238,0.218
"P45","Muy mala",0.429,0.437,0.825,0.276,0.516
"P45","No sabe",0.002,0.001,0.003,0,0.016
"P46","Muy buena",0.374,0.362,0.003,0.022,0.029
"P46","Buena",0.076,0.069,0.01,0.106,0.062
"P46","Ni buena ni mala",0.05,0.048,0.033,0.333,0.121
"P46","Mala",0.035,0.034,0.057,0.143,0.089
"P46","Muy mala",0.458,0.487,0.885,0.343,0.676
"P46","No sabe",0.007,0,0.012,0.053,0.023
"P47","Muy buena",0.245,0.179,0.12,0.015,0.068
"P47","Buena",0.165,0.202,0.229,0.028,0.125
"P47","Ni buena ni mala",0.087,0.093,0.27,0.133,0.225
"P47","Mala",0.104,0.085,0.165,0.131,0.149
"P47","Muy mala",0.393,0.44,0.212,0.693,0.405
"P47","No sabe",0.006,0.001,0.004,0,0.028
"P48","Muy buena",0.162,0.163,0.121,0.021,0.184
"P48","Buena",0.196,0.213,0.167,0.04,0.215
"P48","Ni buena ni mala",0.16,0.163,0.277,0.151,0.293
"P48","Mala",0.142,0.108,0.163,0.295,0.089
"P48","Muy mala",0.323,0.337,0.251,0.493,0.205
"P48","No sabe",0.017,0.016,0.021,0,0.014
"P49","Muy buena",0.098,0.1,0.017,0.035,0.106
"P49","Buena",0.182,0.189,0.024,0.058,0.131
"P49","Ni buena ni mala",0.193,0.194,0.108,0.325,0.166
"P49","Mala",0.114,0.124,0.163,0.229,0.174
"P49","Muy mala",0.412,0.388,0.683,0.353,0.401
"P49","No sabe",0.001,0.005,0.005,0,0.022
"P50","Muy buena",0.337,0.298,0.294,0,0.056
"P50","Buena",0.155,0.141,0.233,0.049,0.166
"P50","Ni buena ni mala",0.066,0.064,0.226,0.231,0.274
"P50","Mala",0.059,0.06,0.104,0.172,0.187
"P50","Muy mala",0.372,0.428,0.14,0.538,0.279
"P50","No sabe",0.011,0.009,0.003,0.01,0.038
"P51","Muy buena",0.077,0.084,0.578,0,0.018
"P51","Buena",0.128,0.107,0.273,0.03,0.057
"P51","Ni buena ni mala",0.233,0.267,0.099,0.197,0.342
"P51","Mala",0.129,0.108,0.035,0.121,0.144
"P51","Muy mala",0.419,0.424,0.014,0.644,0.372
"P51","No sabe",0.014,0.01,0.001,0.008,0.067
"P52","Muy buena",0.196,0.198,0.208,0.015,0.142
"P52","Buena",0.181,0.171,0.191,0.078,0.178
"P52","Ni buena ni mala",0.121,0.158,0.236,0.213,0.233
"P52","Mala",0.092,0.06,0.146,0.089,0.117
"P52","Muy mala",0.39,0.406,0.211,0.585,0.285
"P52","No sabe",0.02,0.007,0.008,0.02,0.045
"P53","Muy buena",0.116,0.106,0.037,0,0.043
"P53","Buena",0.182,0.23,0.028,0.058,0.103
"P53","Ni buena ni mala",0.183,0.17,0.132,0.398,0.187
"P53","Mala",0.13,0.131,0.161,0.2,0.227
"P53","Muy mala",0.373,0.343,0.636,0.323,0.419
"P53","No sabe",0.016,0.02,0.006,0.021,0.021
"P54","Muy buena",0.059,0.065,0.058,0.025,0.149
"P54","Buena",0.156,0.132,0.112,0.178,0.162
"P54","Ni buena ni mala",0.343,0.352,0.262,0.411,0.335
"P54","Mala",0.165,0.203,0.202,0.035,0.114
"P54","Muy mala",0.228,0.197,0.297,0.193,0.162
"P54","No sabe",0.049,0.051,0.069,0.158,0.078
"P55","Muy buena",0.034,0.052,0.056,0.013,0.089
"P55","Buena",0.132,0.114,0.071,0.021,0.105
"P55","Ni buena ni mala",0.273,0.307,0.352,0.265,0.4
"P55","Mala",0.146,0.158,0.164,0.263,0.123
"P55","Muy mala",0.339,0.292,0.249,0.27,0.16
"P55","No sabe",0.076,0.077,0.108,0.168,0.123
"P56","Siempre",0.319,0.343,0.261,0.149,0.287
"P56","Casi siempre",0.429,0.378,0.362,0.565,0.332
"P56","Casi nunca",0.137,0.196,0.245,0.201,0.218
"P56","Nunca, pero esta es una excepción",0.115,0.083,0.132,0.085,0.163
"P57","Si",0.569,0.566,0.563,0.601,0.48
"P57","No",0.431,0.434,0.437,0.399,0.52
