"var","categoria","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Patricia Bullrich y Mauricio Macri","Al candidato de Javier Milei en el municipio de Merlo","Al candidato de José Luis Espert en la boleta de Espert gobernador","A Cristian Franco por el Frente de Izquierda","No sabe"
"P46","Ni buena ni mala",0.206,0.138,0.092,0.137,0.439,0.282
"P46","Mala",0.087,0.208,0.142,0.196,0.336,0.297
"P46","Muy mala",0.11,0.453,0.567,0.63,0.075,0.236
"P46","No sabe",0.046,0.016,0.101,0,0.043,0.027
"P47","Muy buena",0.051,0.352,0.341,0.267,0.02,0.019
"P47","Buena",0.079,0.23,0.169,0.217,0.04,0.109
"P47","Ni buena ni mala",0.122,0.162,0.178,0.222,0,0.043
"P47","Mala",0.183,0.099,0.045,0.138,0.192,0.196
"P47","Muy mala",0.518,0.135,0.267,0.156,0.71,0.594
"P47","No sabe",0.047,0.022,0,0,0.038,0.039
"P48","Muy buena",0.008,0.19,0.727,0.443,0,0.133
"P48","Buena",0.023,0.195,0.115,0.056,0,0.026
"P48","Ni buena ni mala",0.178,0.331,0.068,0.282,0.076,0.073
"P48","Mala",0.238,0.176,0.01,0.085,0.173,0.136
"P48","Muy mala",0.485,0.06,0.08,0.134,0.751,0.577
"P48","No sabe",0.068,0.048,0,0,0,0.055
