"var","categoria","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora","Solo como gobernador a José Luis Espert","A los candidatos a presidente y gobernador del Frente de Izquierda","No sabe"
"P38","Muy mala",0.221,0.155,0.275,0.145,0.035,0.364,0.247,0.278,0.306
"P38","No sabe",0.074,0.109,0.115,0.129,0.085,0.143,0.263,0.163,0.256
"P39","Que continúe el intendente Fernando Moreira",0.071,0.108,0.042,0.297,0.254,0.08,0.139,0,0.077
"P39","Que continúe Fernando Moreira pero con mejoras",0.004,0.117,0.104,0.3,0.356,0.014,0.157,0.33,0.152
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.199,0.15,0.169,0.221,0.223,0.109,0.025,0.072,0.262
"P39","Que cambie el intendente Fernando Moreira",0.726,0.625,0.685,0.182,0.167,0.797,0.679,0.598,0.509
"P40","La seguridad",0.099,0.099,0.102,0.098,0.116,0.022,0.239,0.004,0
"P40","El tránsito",0.049,0.092,0.039,0.076,0.051,0.014,0,0.268,0
"P40","El arreglo de las calles",0.09,0.097,0.154,0.212,0.174,0.049,0.037,0.034,0.179
"P40","Los parques y espacios públicos",0.281,0.283,0.221,0.242,0.187,0.182,0.292,0.263,0.1
"P40","El sistema de salud",0,0.012,0,0.016,0.117,0.018,0,0.015,0.084
"P40","La limpieza de las calles",0.033,0.011,0.063,0.007,0.029,0.013,0.025,0,0.044
"P40","El deporte y la cultura",0.071,0.072,0.055,0.059,0.148,0.085,0,0.048,0.179
"P40","La luminaria",0.065,0.076,0.075,0.095,0.039,0.128,0.025,0,0.024
"P40","No sabe",0.312,0.258,0.291,0.195,0.139,0.489,0.382,0.368,0.39
"P41","La seguridad",0.652,0.683,0.528,0.512,0.459,0.579,0.738,0.436,0.518
"P41","El tránsito",0.023,0.071,0.078,0.04,0.076,0,0.035,0.183,0.017
"P41","El arreglo de las calles",0.102,0.058,0.148,0.174,0.069,0.028,0.019,0,0.036
"P41","Los parques y espacios públicos",0.035,0.033,0.019,0.065,0.02,0.057,0.033,0.183,0
"P41","El sistema de salud",0.022,0.033,0.074,0.098,0.072,0.148,0,0.052,0.127
"P41","La limpieza de las calles",0.063,0.035,0.009,0.027,0.06,0.025,0,0.054,0.017
"P41","El deporte y la cultura",0,0.007,0.046,0.006,0.043,0.047,0,0,0.199
"P41","La luminaria",0.015,0,0.009,0,0.015,0,0,0,0
"P41","No sabe",0.088,0.08,0.089,0.078,0.186,0.116,0.175,0.092,0.086
"P42","Agua corriente y cloacas",0.417,0.413,0.354,0.264,0.418,0.342,0.379,0.051,0.502
"P42","Energía eléctrica",0.184,0.187,0.219,0.169,0.132,0.207,0,0.409,0
"P42","Red de gas natural",0.053,0.061,0.043,0.047,0.033,0,0.019,0.093,0.069
"P42","Recolección de residuos",0.216,0.118,0.208,0.195,0.119,0.215,0.108,0.102,0.11
"P42","Ninguno",0.13,0.221,0.176,0.325,0.298,0.236,0.494,0.345,0.319
"P43","Los robos",0.408,0.356,0.279,0.189,0.319,0.374,0.355,0.367,0.454
"P43","El narcotráfico",0.278,0.264,0.369,0.367,0.332,0.327,0.468,0.312,0.108
"P43","La ausencia de patrulleros y personal policial",0.232,0.271,0.227,0.199,0.17,0.116,0.177,0.157,0.144
"P43","Otro",0.029,0.059,0.09,0.134,0.067,0.137,0,0.077,0.243
"P43","Ninguno",0.053,0.05,0.035,0.111,0.112,0.046,0,0.087,0.051
