"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P45","Buena",0.182,0.609,0.14,0.084
"P45","Ni buena ni mala",0.02,0.151,0.549,0.25
"P45","Mala",0.042,0.039,0.149,0.262
"P45","Muy mala",0.042,0.051,0.06,0.345
"P45","No sabe",0.025,0.04,0.047,0.032
"P47","Es kirchnerista",0.477,0.048,0.104,0.191
"P47","Forma parte del Frente de Todos",0.225,0.593,0.175,0.206
"P47","Es un hombre de Massa",0.054,0.085,0.353,0.125
"P47","Es un peronista independiente de centro",0.163,0.123,0.143,0.127
"P47","Es un oportunista y está donde le conviene",0.031,0.053,0.131,0.272
"P47","No sabe",0.05,0.098,0.094,0.079
"P48","El tránsito",0.544,0.291,0.226,0.196
"P48","El arreglo de las calles",0.077,0.152,0.074,0.085
"P48","Los parques y espacios públicos",0.029,0.104,0.169,0.055
"P48","El sistema de salud",0.078,0.065,0.029,0.041
"P48","La limpieza de las calles",0.115,0.132,0.188,0.081
"P48","El deporte y la cultura",0.032,0.093,0.15,0.113
"P48","La obra pública",0.057,0.014,0.039,0.025
"P48","La luminaria",0.026,0.052,0.023,0.085
"P48","No sabe",0.042,0.097,0.102,0.319
"P49","El tránsito",0.339,0.107,0.116,0.286
"P49","El arreglo de las calles",0.074,0.143,0.151,0.076
"P49","Los parques y espacios públicos",0.135,0.207,0.186,0.12
"P49","El sistema de salud",0.035,0.145,0.106,0.082
"P49","La limpieza de las calles",0.143,0.234,0.166,0.175
"P49","El deporte y la cultura",0.046,0.006,0.054,0.057
"P49","La obra pública",0.023,0.012,0.038,0.047
"P49","La luminaria",0.025,0.031,0.017,0.011
"P49","No sabe",0.18,0.115,0.166,0.146
"P50","Agua corriente y cloacas",0.533,0.306,0.345,0.458
"P50","Energía eléctrica",0.092,0.172,0.124,0.145
"P50","Red de gas natural",0.046,0.109,0.132,0.1
"P50","Recolección de residuos",0.124,0.133,0.179,0.122
"P50","Ninguno",0.205,0.28,0.22,0.175
"P51","Los robos",0.405,0.183,0.238,0.389
"P51","El narcotráfico",0.14,0.378,0.262,0.279
"P51","La ausencia de patrulleros y personal policial",0.154,0.17,0.14,0.099
"P51","Otro",0.085,0.135,0.204,0.159
"P51","Ninguno",0.216,0.134,0.156,0.074
"P52","Muy buena",0.278,0.076,0.045,0.066
"P52","Buena",0.263,0.21,0.145,0.069
"P52","Ni buena ni mala",0.128,0.264,0.172,0.054
"P52","Mala",0.111,0.215,0.112,0.061
"P52","Muy mala",0.192,0.229,0.491,0.749
"P52","No sabe",0.028,0.006,0.035,0.001
"P53","Muy buena",0.37,0.082,0.177,0.212
"P53","Buena",0.091,0.129,0.21,0.227
"P53","Ni buena ni mala",0.07,0.133,0.116,0.138
"P53","Mala",0.128,0.136,0.143,0.144
"P53","Muy mala",0.341,0.512,0.328,0.268
"P53","No sabe",0,0.008,0.026,0.011
"P54","Muy buena",0.528,0.426,0.28,0.107
"P54","Buena",0.123,0.126,0.062,0.039
"P54","Ni buena ni mala",0.067,0.085,0.103,0.025
"P54","Mala",0.078,0.027,0.13,0.039
"P54","Muy mala",0.204,0.312,0.425,0.786
"P54","No sabe",0,0.024,0,0.004
"P55","Muy buena",0.286,0.081,0.071,0.083
"P55","Buena",0.113,0.164,0.213,0.212
"P55","Ni buena ni mala",0.089,0.174,0.259,0.212
"P55","Mala",0.157,0.131,0.158,0.168
"P55","Muy mala",0.355,0.432,0.291,0.324
"P55","No sabe",0,0.018,0.008,0.001
"P56","Muy buena",0.317,0.122,0.107,0.056
"P56","Buena",0.081,0.171,0.259,0.049
"P56","Ni buena ni mala",0.199,0.248,0.16,0.075
"P56","Mala",0.08,0.118,0.109,0.097
"P56","Muy mala",0.323,0.339,0.365,0.711
"P56","No sabe",0,0.002,0,0.012
"P57","Muy buena",0.404,0.298,0.164,0.077
"P57","Buena",0.109,0.222,0.152,0.036
"P57","Ni buena ni mala",0.171,0.098,0.158,0.134
"P57","Mala",0.057,0.06,0.133,0.157
"P57","Muy mala",0.195,0.229,0.363,0.561
"P57","No sabe",0.064,0.093,0.03,0.035
"P58","Muy buena",0.292,0.117,0.286,0.304
"P58","Buena",0.097,0.132,0.165,0.238
"P58","Ni buena ni mala",0.065,0.1,0.144,0.13
"P58","Mala",0.088,0.135,0.083,0.091
"P58","Muy mala",0.448,0.485,0.316,0.237
"P58","No sabe",0.01,0.031,0.006,0
"P59","Muy buena",0.261,0.079,0.216,0.295
"P59","Buena",0.055,0.168,0.111,0.137
"P59","Ni buena ni mala",0.073,0.085,0.201,0.244
"P59","Mala",0.141,0.111,0.115,0.149
"P59","Muy mala",0.46,0.503,0.307,0.162
"P59","No sabe",0.01,0.054,0.05,0.013
"P60","Muy buena",0.507,0.408,0.311,0.107
"P60","Buena",0.147,0.153,0.107,0.044
"P60","Ni buena ni mala",0.039,0.023,0.125,0.096
"P60","Mala",0.048,0.077,0.116,0.062
"P60","Muy mala",0.249,0.296,0.333,0.69
"P60","No sabe",0.01,0.043,0.008,0.001
"P61","Muy buena",0.247,0.052,0.146,0.109
"P61","Buena",0.072,0.131,0.156,0.202
"P61","Ni buena ni mala",0.251,0.245,0.339,0.259
"P61","Mala",0.112,0.138,0.075,0.095
"P61","Muy mala",0.2,0.318,0.183,0.237
"P61","No sabe",0.118,0.116,0.101,0.098
"P62","Muy buena",0.164,0.033,0.079,0.119
"P62","Buena",0.142,0.172,0.222,0.279
"P62","Ni buena ni mala",0.089,0.264,0.257,0.314
"P62","Mala",0.171,0.186,0.188,0.107
"P62","Muy mala",0.356,0.297,0.193,0.146
"P62","No sabe",0.078,0.048,0.061,0.035
