"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.06,0.617,0.837,0.733,0.036,0.333,0.026,0.164
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.008,0.053,0.107,0.763,0,0.096,0.011
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.013,0.019,0.029,0.009,0.61,0,0.045
"P30","No sabe",0.043,0.106,0.007,0.09,0.174,0,0.73,0.493
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.888,0.282,0.072,0.137,0.01,0.058,0.177,0.343
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.058,0.648,0.782,0.751,0.049,0.333,0.043,0.029
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.009,0.089,0.042,0.792,0,0.054,0.011
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0,0.011,0.013,0.042,0.609,0.073,0.046
"P31","No sabe",0.034,0.061,0.046,0.057,0.107,0,0.653,0.571
"P32","Lo votaría",0.606,0.193,0.109,0.248,0.048,0.059,0.177,0.206
"P32","Puede que lo vote",0.23,0.108,0.271,0.316,0.208,0.092,0.334,0.237
"P32","Nunca lo votaría",0.094,0.642,0.486,0.256,0.568,0.269,0.326,0.097
"P32","No sabe",0.07,0.057,0.134,0.18,0.176,0.58,0.163,0.46
"P33","Lo votaría",0.253,0.174,0.084,0.239,0.013,0.059,0.305,0.063
"P33","Puede que lo vote",0.298,0.151,0.285,0.249,0.245,0,0.096,0.059
"P33","Nunca lo votaría",0.307,0.644,0.463,0.284,0.564,0.559,0.391,0.428
"P33","No sabe",0.142,0.031,0.168,0.228,0.178,0.382,0.208,0.45
"P34","Lo votaría",0.058,0.032,0.496,0.241,0.037,0,0,0.015
"P34","Puede que lo vote",0.201,0.675,0.172,0.436,0.366,0.058,0.082,0.335
"P34","Nunca lo votaría",0.586,0.169,0.193,0.18,0.392,0.562,0.621,0.136
"P34","No sabe",0.155,0.124,0.139,0.143,0.205,0.38,0.297,0.514
"P35","Lo votaría",0.054,0.057,0.531,0.552,0.125,0.201,0,0.151
"P35","Puede que lo vote",0.215,0.632,0.219,0.231,0.298,0.195,0.18,0.335
"P35","Nunca lo votaría",0.667,0.228,0.147,0.137,0.418,0.365,0.629,0.176
"P35","No sabe",0.064,0.083,0.103,0.08,0.159,0.239,0.191,0.338
"P36","Lo votaría",0.792,0.343,0.054,0.142,0.029,0.059,0.214,0.283
"P36","Puede que lo vote",0.06,0.035,0.208,0.199,0.319,0.576,0.159,0.24
"P36","Nunca lo votaría",0.142,0.567,0.735,0.618,0.559,0.365,0.464,0.214
"P36","No sabe",0.006,0.055,0.003,0.041,0.093,0,0.163,0.263
"P37","La votaría",0.235,0.173,0.015,0.099,0.055,0,0.046,0
"P37","Puede que la vote",0.416,0.597,0.231,0.212,0.259,0.637,0.166,0.196
"P37","Nunca la votaría",0.288,0.139,0.692,0.65,0.613,0.363,0.625,0.421
"P37","No sabe",0.061,0.091,0.062,0.039,0.073,0,0.163,0.383
"P38","Lo votaría",0.051,0.016,0.529,0.273,0.037,0.339,0,0.149
"P38","Puede que lo vote",0.187,0.695,0.192,0.349,0.312,0.298,0.198,0.362
"P38","Nunca lo votaría",0.644,0.219,0.175,0.307,0.509,0.363,0.602,0.176
"P38","No sabe",0.118,0.07,0.104,0.071,0.142,0,0.2,0.313
"P39","Lo votaría",0.081,0.088,0.645,0.617,0.151,0.337,0,0.028
"P39","Puede que lo vote",0.175,0.651,0.245,0.18,0.289,0.3,0.218,0.382
"P39","Nunca lo votaría",0.712,0.204,0.071,0.164,0.434,0.363,0.646,0.342
"P39","No sabe",0.032,0.057,0.039,0.039,0.126,0,0.136,0.248
"P40","Lo votaría",0.066,0.026,0.159,0.022,0.451,0,0,0
"P40","Puede que lo vote",0.225,0.567,0.335,0.374,0.183,0.502,0.132,0.296
"P40","Nunca lo votaría",0.642,0.333,0.361,0.47,0.234,0.498,0.732,0.249
"P40","No sabe",0.067,0.074,0.145,0.134,0.132,0,0.136,0.455
"P41","Lo votaría",0.461,0.333,0.058,0.004,0.052,0,0.064,0.291
"P41","Puede que lo vote",0.346,0.065,0.286,0.309,0.296,0.503,0.224,0.162
"P41","Nunca lo votaría",0.184,0.576,0.654,0.586,0.586,0.497,0.576,0.307
"P41","No sabe",0.009,0.026,0.002,0.101,0.066,0,0.136,0.24
"P42","Lo votaría",0.698,0.211,0.069,0.027,0.005,0,0.11,0.161
"P42","Puede que lo vote",0.178,0.129,0.229,0.291,0.35,0.577,0.258,0.23
"P42","Nunca lo votaría",0.105,0.602,0.693,0.612,0.582,0.423,0.568,0.369
"P42","No sabe",0.019,0.058,0.009,0.07,0.063,0,0.064,0.24
"P43","Lo votaría",0.266,0.549,0.036,0.031,0.041,0,0.064,0.062
"P43","Puede que lo vote",0.451,0.256,0.252,0.314,0.338,0.712,0.332,0.174
"P43","Nunca lo votaría",0.235,0.176,0.668,0.596,0.553,0.288,0.604,0.471
"P43","No sabe",0.048,0.019,0.044,0.059,0.068,0,0,0.293
"P44","La votaría",0.116,0.032,0.831,0.329,0.127,0.338,0.038,0.063
"P44","Puede que la vote",0.19,0.641,0.089,0.474,0.515,0.3,0.307,0.43
"P44","Nunca la votaría",0.655,0.308,0.08,0.159,0.238,0.362,0.535,0.179
"P44","No sabe",0.039,0.019,0,0.038,0.12,0,0.12,0.328
"P45","Lo votaría",0.043,0.032,0.448,0.684,0.121,0.338,0,0.05
"P45","Puede que lo vote",0.205,0.4,0.366,0.169,0.378,0.301,0.307,0.317
"P45","Nunca lo votaría",0.722,0.549,0.162,0.105,0.389,0.361,0.621,0.327
"P45","No sabe",0.03,0.019,0.024,0.042,0.112,0,0.072,0.306
"P46","Lo votaría",0.038,0.078,0.148,0.143,0.853,0.134,0,0.096
"P46","Puede que lo vote",0.245,0.124,0.423,0.326,0.044,0.505,0.347,0.164
"P46","Nunca lo votaría",0.71,0.769,0.353,0.444,0.064,0.361,0.588,0.398
"P46","No sabe",0.007,0.029,0.076,0.087,0.039,0,0.065,0.342
"P47","Si",0.504,0.714,0.513,0.317,0.464,0.614,0.401,0.548
"P47","No",0.496,0.286,0.487,0.683,0.536,0.386,0.599,0.452
