"var","categoria","1","2","3","4","5","6","7","8","9"
"P41","No sabe",0.184,0.204,0.26,0.281,0.335,0.265,0.301,0.302,0.357
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.49,0.463,0.435,0.35,0.261,0.167,0.127,0.144,0.136
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.229,0.277,0.23,0.297,0.401,0.528,0.582,0.529,0.478
"P42","No sabe",0.281,0.26,0.335,0.353,0.338,0.305,0.291,0.327,0.386
"P43","Muy buena",0.112,0.08,0.077,0.053,0.029,0.013,0.02,0.052,0.038
"P43","Buena",0.27,0.175,0.197,0.152,0.12,0.084,0.07,0.055,0.069
"P43","Ni buena ni mala",0.192,0.25,0.249,0.19,0.182,0.108,0.074,0.089,0.084
"P43","Mala",0.145,0.176,0.147,0.244,0.148,0.154,0.098,0.105,0.081
"P43","Muy mala",0.265,0.312,0.329,0.352,0.505,0.637,0.729,0.697,0.714
"P43","No sabe",0.016,0.007,0.001,0.009,0.016,0.004,0.009,0.002,0.014
"P44","Muy de acuerdo",0.242,0.181,0.289,0.156,0.146,0.135,0.174,0.124,0.11
"P44","De acuerdo",0.21,0.268,0.193,0.194,0.157,0.205,0.209,0.193,0.127
"P44","Ni de acuerdo ni en desacuerdo",0.266,0.245,0.235,0.335,0.335,0.364,0.311,0.347,0.265
"P44","En desacuerdo",0.115,0.13,0.132,0.151,0.148,0.114,0.116,0.11,0.159
"P44","Muy en desacuerdo",0.112,0.144,0.117,0.079,0.15,0.135,0.149,0.14,0.258
"P44","No sabe",0.055,0.032,0.034,0.085,0.064,0.047,0.041,0.086,0.081
"P45","Muy de acuerdo",0.24,0.171,0.2,0.131,0.146,0.085,0.07,0.077,0.082
"P45","De acuerdo",0.234,0.254,0.289,0.241,0.133,0.096,0.114,0.104,0.078
"P45","Ni de acuerdo ni en desacuerdo",0.235,0.201,0.229,0.321,0.314,0.386,0.303,0.315,0.243
"P45","En desacuerdo",0.113,0.092,0.076,0.092,0.151,0.198,0.168,0.204,0.176
"P45","Muy en desacuerdo",0.146,0.251,0.187,0.17,0.214,0.215,0.308,0.253,0.384
"P45","No sabe",0.032,0.031,0.019,0.045,0.042,0.02,0.037,0.047,0.037
"P46","Si",0.426,0.322,0.455,0.286,0.216,0.144,0.13,0.151,0.152
"P46","No",0.316,0.433,0.348,0.362,0.482,0.594,0.639,0.664,0.657
"P46","No sabe",0.258,0.245,0.197,0.352,0.302,0.262,0.231,0.185,0.191
"P47","Muy buena",0.15,0.083,0.081,0.09,0.062,0.009,0.027,0.06,0.059
"P47","Buena",0.248,0.217,0.24,0.172,0.134,0.167,0.09,0.101,0.094
"P47","Ni buena ni mala",0.211,0.229,0.242,0.243,0.167,0.13,0.08,0.054,0.085
"P47","Mala",0.143,0.136,0.142,0.12,0.154,0.165,0.12,0.116,0.112
"P47","Muy mala",0.239,0.331,0.295,0.372,0.475,0.525,0.678,0.664,0.643
"P47","No sabe",0.009,0.004,0,0.003,0.008,0.004,0.005,0.005,0.007
"P48","Muy buena",0.465,0.359,0.325,0.198,0.136,0.088,0.073,0.116,0.096
"P48","Buena",0.098,0.103,0.142,0.133,0.077,0.085,0.025,0.024,0.027
"P48","Ni buena ni mala",0.049,0.066,0.088,0.148,0.084,0.065,0.017,0.037,0.057
"P48","Mala",0.077,0.093,0.069,0.074,0.097,0.098,0.06,0.052,0.055
"P48","Muy mala",0.306,0.37,0.371,0.447,0.593,0.662,0.823,0.755,0.754
"P48","No sabe",0.005,0.009,0.005,0,0.013,0.002,0.002,0.016,0.011
"P49","Muy buena",0.127,0.166,0.091,0.139,0.115,0.142,0.155,0.165,0.249
"P49","Buena",0.094,0.121,0.139,0.14,0.157,0.179,0.32,0.29,0.229
"P49","Ni buena ni mala",0.107,0.086,0.134,0.161,0.183,0.226,0.154,0.166,0.178
"P49","Mala",0.18,0.215,0.099,0.136,0.179,0.15,0.125,0.153,0.12
"P49","Muy mala",0.466,0.401,0.536,0.403,0.35,0.3,0.23,0.22,0.216
"P49","No sabe",0.026,0.011,0.001,0.021,0.016,0.003,0.016,0.006,0.008
"P50","Muy buena",0.115,0.076,0.093,0.082,0.124,0.176,0.156,0.141,0.169
"P50","Buena",0.12,0.163,0.131,0.234,0.22,0.281,0.255,0.24,0.25
"P50","Ni buena ni mala",0.168,0.224,0.164,0.21,0.239,0.262,0.286,0.242,0.24
"P50","Mala",0.171,0.166,0.24,0.201,0.16,0.116,0.125,0.162,0.112
"P50","Muy mala",0.384,0.335,0.36,0.239,0.218,0.132,0.165,0.197,0.191
"P50","No sabe",0.042,0.036,0.012,0.034,0.039,0.033,0.013,0.018,0.038
"P51","Muy buena",0.138,0.039,0.115,0.093,0.058,0.057,0.032,0.062,0.061
"P51","Buena",0.255,0.212,0.198,0.192,0.139,0.079,0.088,0.068,0.088
"P51","Ni buena ni mala",0.241,0.3,0.252,0.26,0.206,0.217,0.129,0.136,0.139
"P51","Mala",0.116,0.138,0.144,0.207,0.179,0.217,0.143,0.205,0.14
"P51","Muy mala",0.225,0.305,0.274,0.212,0.394,0.421,0.607,0.505,0.545
"P51","No sabe",0.025,0.006,0.017,0.036,0.024,0.009,0.001,0.024,0.027
"P52","Muy buena",0.172,0.184,0.161,0.163,0.211,0.268,0.381,0.351,0.406
"P52","Buena",0.093,0.091,0.1,0.191,0.178,0.225,0.252,0.254,0.205
"P52","Ni buena ni mala",0.121,0.127,0.108,0.159,0.173,0.182,0.12,0.177,0.148
"P52","Mala",0.12,0.148,0.116,0.156,0.127,0.112,0.081,0.06,0.067
"P52","Muy mala",0.459,0.423,0.515,0.299,0.279,0.207,0.158,0.133,0.146
"P52","No sabe",0.035,0.027,0,0.032,0.032,0.006,0.008,0.025,0.028
"P53","Muy buena",0.102,0.147,0.089,0.105,0.156,0.136,0.182,0.274,0.306
"P53","Buena",0.09,0.136,0.122,0.113,0.123,0.133,0.232,0.189,0.168
"P53","Ni buena ni mala",0.166,0.136,0.131,0.189,0.251,0.293,0.279,0.239,0.26
"P53","Mala",0.129,0.165,0.12,0.179,0.142,0.217,0.154,0.113,0.093
"P53","Muy mala",0.461,0.384,0.523,0.368,0.289,0.205,0.142,0.153,0.142
"P53","No sabe",0.052,0.032,0.015,0.046,0.039,0.016,0.011,0.032,0.031
"P54","Muy buena",0.131,0.117,0.128,0.131,0.155,0.181,0.197,0.173,0.242
"P54","Buena",0.126,0.114,0.133,0.15,0.205,0.261,0.266,0.25,0.25
"P54","Ni buena ni mala",0.1,0.21,0.099,0.145,0.199,0.233,0.231,0.247,0.181
"P54","Mala",0.14,0.183,0.117,0.201,0.15,0.138,0.128,0.101,0.094
"P54","Muy mala",0.474,0.372,0.523,0.322,0.274,0.183,0.166,0.212,0.203
"P54","No sabe",0.029,0.004,0,0.051,0.017,0.004,0.012,0.017,0.03
"P55","Muy buena",0.112,0.043,0.049,0.072,0.052,0.036,0.024,0.036,0.047
"P55","Buena",0.265,0.2,0.222,0.179,0.118,0.078,0.088,0.1,0.07
"P55","Ni buena ni mala",0.22,0.301,0.296,0.26,0.189,0.157,0.106,0.117,0.155
"P55","Mala",0.124,0.131,0.124,0.205,0.183,0.256,0.214,0.147,0.146
"P55","Muy mala",0.242,0.319,0.306,0.237,0.441,0.461,0.561,0.579,0.561
"P55","No sabe",0.037,0.006,0.003,0.047,0.017,0.012,0.007,0.021,0.021
"P56","Muy buena",0.071,0.056,0.088,0.125,0.119,0.138,0.117,0.096,0.102
"P56","Buena",0.116,0.129,0.139,0.182,0.17,0.247,0.192,0.2,0.192
"P56","Ni buena ni mala",0.344,0.333,0.34,0.323,0.348,0.352,0.313,0.377,0.34
"P56","Mala",0.159,0.196,0.239,0.138,0.116,0.086,0.146,0.131,0.094
"P56","Muy mala",0.196,0.216,0.144,0.163,0.166,0.095,0.195,0.118,0.192
"P56","No sabe",0.114,0.07,0.05,0.069,0.081,0.082,0.037,0.078,0.08
"P57","Muy buena",0.049,0.051,0.046,0.059,0.066,0.075,0.048,0.034,0.054
"P57","Buena",0.084,0.092,0.079,0.147,0.139,0.193,0.149,0.153,0.149
"P57","Ni buena ni mala",0.26,0.293,0.268,0.308,0.354,0.364,0.375,0.381,0.357
"P57","Mala",0.152,0.153,0.209,0.109,0.158,0.162,0.135,0.131,0.106
"P57","Muy mala",0.354,0.352,0.365,0.256,0.19,0.093,0.223,0.188,0.229
"P57","No sabe",0.101,0.059,0.033,0.121,0.093,0.113,0.07,0.113,0.105
