"var","categoria","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P33","No sabe",0.091,0.078,0.093,0.06,0.071,0.028,0.048,0.209
"P34","Lo votaría",0.058,0.671,0.187,0.047,0.05,0,0.014,0.045
"P34","Puede que lo vote",0.071,0.187,0.374,0.274,0.132,0.107,0.207,0.186
"P34","Nunca lo votaría",0.83,0.125,0.38,0.618,0.783,0.855,0.747,0.601
"P34","No sabe",0.041,0.017,0.059,0.061,0.035,0.038,0.032,0.168
"P35","Lo votaría",0.036,0.246,0.675,0.059,0.068,0,0.085,0.084
"P35","Puede que lo vote",0.121,0.378,0.218,0.144,0.178,0.091,0.108,0.307
"P35","Nunca lo votaría",0.81,0.333,0.098,0.763,0.684,0.879,0.74,0.474
"P35","No sabe",0.033,0.043,0.009,0.034,0.07,0.03,0.067,0.135
"P36","Lo votaría",0.027,0.467,0.327,0.161,0.18,0.015,0.369,0.302
"P36","Puede que lo vote",0.049,0.348,0.352,0.359,0.057,0.091,0.175,0.133
"P36","Nunca lo votaría",0.902,0.14,0.266,0.428,0.722,0.88,0.406,0.462
"P36","No sabe",0.022,0.045,0.055,0.052,0.041,0.014,0.05,0.103
"P37","Lo votaría",0.093,0.069,0.087,0.043,0.247,0.593,0.121,0.069
"P37","Puede que lo vote",0.391,0.082,0.168,0.058,0.214,0.164,0.117,0.151
"P37","Nunca lo votaría",0.44,0.795,0.686,0.839,0.491,0.234,0.719,0.661
"P37","No sabe",0.076,0.054,0.059,0.06,0.048,0.009,0.043,0.119
"P38","Lo votaría",0.038,0.492,0.343,0.071,0.154,0.058,0.228,0.196
"P38","Puede que lo vote",0.074,0.296,0.272,0.137,0.042,0.143,0.074,0.098
"P38","Nunca lo votaría",0.862,0.183,0.338,0.735,0.774,0.757,0.67,0.565
"P38","No sabe",0.026,0.029,0.047,0.057,0.03,0.042,0.028,0.141
"P39","Si",0.555,0.566,0.589,0.487,0.702,0.537,0.475,0.444
"P39","No",0.445,0.434,0.411,0.513,0.298,0.463,0.525,0.556
