"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario","A los candidatos de la izquierda","No sabe"
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.098,0.365,0.114,0.219,0.05,0.022,0.01,0.024,0.003,0
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.013,0.058,0.071,0.028,0.825,0.519,0.016,0.208,0
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.02,0.005,0.006,0.023,0.076,0.314,0.001,0.082,0
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.013,0.059,0.049,0.03,0.003,0.001,0.037,0.707,0.002,0
"P28","A los candidatos de izquierda",0,0.006,0.016,0,0.001,0.009,0.001,0.208,0.429,0
"P28","No sabe",0.009,0.024,0.013,0.072,0.035,0.025,0.022,0.001,0.243,0
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.596,0.384,0.236,0.124,0.101,0.004,0,0.015,0,0
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.07,0.06,0.408,0.341,0.262,0.027,0.026,0.02,0.026,0
"P29","A Martín Lousteau como Jefe de Gobierno",0.083,0.184,0.182,0.139,0.511,0.017,0.043,0.016,0.037,0
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.025,0.243,0.039,0.194,0.043,0.268,0.082,0.021,0.013,0
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.005,0.02,0.039,0.058,0.011,0.581,0.499,0,0.066,0
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.181,0.037,0.005,0.03,0.028,0.057,0.294,0.001,0.028,0
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.016,0.048,0.038,0.028,0.006,0.003,0.012,0.739,0,0
"P29","A los candidatos de izquierda",0.004,0.008,0.016,0.01,0.004,0.013,0.014,0.18,0.498,0
"P29","No sabe",0.02,0.016,0.037,0.076,0.034,0.03,0.03,0.008,0.332,0
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.197,0.064,0.358,0.337,0.257,0.007,0.04,0.009,0,0
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.52,0.745,0.213,0.198,0.104,0.004,0.008,0.017,0,0
"P30","A Martín Lousteau como Jefe de Gobierno",0.149,0.1,0.22,0.211,0.514,0.027,0.031,0.051,0.034,0
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.006,0.02,0.056,0.113,0.027,0.751,0.479,0.003,0.191,0
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.017,0.003,0.013,0.016,0.015,0.143,0.349,0.005,0.102,0
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.057,0.045,0.057,0.029,0.046,0.015,0.041,0.591,0.024,0
"P30","A los candidatos de la izquierda",0.002,0.012,0.021,0.014,0.017,0.022,0.03,0.109,0.482,0
"P30","No sabe",0.052,0.011,0.062,0.082,0.02,0.031,0.022,0.215,0.167,0
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.188,0.05,0.378,0.361,0.26,0.015,0.017,0.007,0,0
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.599,0.779,0.193,0.206,0.105,0.005,0,0.019,0,0
"P31","A Martín Lousteau como Jefe de Gobierno",0.107,0.087,0.164,0.242,0.528,0.015,0.015,0.036,0.034,0
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.004,0.006,0.122,0.07,0.015,0.778,0.49,0,0.075,0
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.01,0.015,0.02,0.023,0.143,0.392,0.003,0.073,0
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.054,0.048,0,0.042,0.02,0.007,0.022,0.651,0.004,0
"P31","A los candidatos de la izquierda",0.004,0.01,0,0.004,0.017,0.019,0.03,0.098,0.607,0
"P31","No sabe",0.037,0.01,0.128,0.055,0.032,0.018,0.034,0.186,0.207,0
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.891,0.833,0.682,0.708,0.618,0.008,0.025,0.016,0,0
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.01,0.015,0.127,0.113,0.056,0.909,0.824,0.005,0.314,0
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.052,0.102,0,0.031,0.072,0.019,0.031,0.913,0.015,0
"P32","A los candidatos de la izquierda",0.004,0.001,0.066,0.028,0.012,0.036,0.03,0.024,0.594,0
"P32","No sabe",0.043,0.049,0.125,0.12,0.242,0.028,0.09,0.042,0.077,0
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.902,0.818,0.618,0.68,0.595,0.014,0.028,0.021,0,0
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.011,0.009,0.149,0.082,0.022,0.876,0.879,0,0.163,0
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.052,0.115,0.118,0.048,0.075,0.026,0.019,0.893,0.007,0
"P33","A los candidatos de la izquierda",0.003,0.011,0.047,0.03,0.045,0.035,0.01,0.033,0.694,0
"P33","No sabe",0.032,0.047,0.068,0.16,0.263,0.049,0.064,0.053,0.136,0
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.648,0.593,0.785,0.757,0.67,0.021,0.026,0.012,0.007,0
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.005,0.081,0.104,0.051,0.92,0.893,0.005,0.294,0
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.172,0.256,0.114,0.061,0.052,0.009,0.01,0.904,0.026,0
"P34","A los candidatos de la izquierda",0.003,0.006,0,0.008,0.017,0.021,0.017,0.011,0.602,0
"P34","No sabe",0.169,0.14,0.02,0.07,0.21,0.029,0.054,0.068,0.071,0
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.665,0.581,0.695,0.719,0.685,0.016,0.054,0.009,0.018,0
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.005,0.003,0.083,0.071,0.041,0.896,0.877,0,0.23,0
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.188,0.281,0.156,0.06,0.062,0.006,0.012,0.917,0.007,0
"P35","A los candidatos de la izquierda",0.006,0.01,0.007,0.03,0.019,0.046,0.012,0.023,0.679,0
"P35","No sabe",0.136,0.125,0.059,0.12,0.193,0.036,0.045,0.051,0.066,0
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.653,0.57,0.73,0.778,0.86,0.005,0.036,0.015,0.008,0
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.005,0.086,0.106,0.056,0.917,0.862,0.009,0.355,0
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.18,0.286,0.106,0.046,0.017,0.014,0.017,0.909,0.024,0
"P36","A los candidatos de la izquierda",0.002,0.007,0.008,0.014,0.007,0.039,0.021,0.021,0.585,0
"P36","No sabe",0.156,0.132,0.07,0.056,0.06,0.025,0.064,0.046,0.028,0
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.67,0.567,0.677,0.798,0.88,0.029,0.042,0.009,0.009,0
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.001,0.018,0.157,0.071,0.035,0.896,0.902,0.007,0.297,0
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.175,0.276,0.055,0.021,0.038,0.008,0,0.926,0.013,0
"P37","A los candidatos de la izquierda",0.003,0.008,0.031,0.009,0.005,0.031,0.018,0.008,0.608,0
"P37","No sabe",0.151,0.131,0.08,0.101,0.042,0.036,0.038,0.05,0.073,0
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.667,0.531,0.692,0.695,0.695,0.078,0.134,0.014,0.005,0
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.056,0.058,0.104,0.146,0.062,0.846,0.778,0.005,0.305,0
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.176,0.288,0.076,0.029,0.051,0.011,0.01,0.924,0.014,0
"P38","A los candidatos de la izquierda",0.004,0.011,0.04,0.024,0.02,0.033,0.007,0.016,0.633,0
"P38","No sabe",0.097,0.112,0.088,0.106,0.172,0.032,0.071,0.041,0.043,0
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.632,0.494,0.703,0.664,0.634,0.095,0.196,0.004,0.028,0
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.086,0.068,0.2,0.143,0.133,0.824,0.717,0.005,0.146,0
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.172,0.304,0.019,0.048,0.035,0.014,0,0.937,0,0
"P40","A los candidatos de la izquierda",0.003,0.018,0.033,0.025,0.021,0.025,0.007,0.004,0.744,0
"P40","No sabe",0.107,0.116,0.045,0.12,0.177,0.042,0.08,0.05,0.082,0
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.654,0.507,0.826,0.705,0.648,0.124,0.095,0.004,0.022,0
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.044,0.048,0.1,0.131,0.123,0.817,0.851,0.007,0.312,0
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.182,0.316,0.013,0.053,0.052,0.006,0.009,0.942,0,0
"P42","A los candidatos de la izquierda",0.002,0.006,0.024,0.026,0.007,0.014,0.003,0.008,0.621,0
"P42","No sabe",0.118,0.123,0.037,0.085,0.17,0.039,0.042,0.039,0.045,0
