"var","categoria","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.841,0.086,0.064,0.055,0.213
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.063,0.886,0.012,0.053,0.071
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.043,0.002,0.91,0.038,0.106
"P42","A los candidatos de la izquierda",0.005,0.005,0.006,0.829,0.013
"P42","No sabe",0.048,0.021,0.008,0.025,0.597
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.803,0.128,0.042,0.022,0.236
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.103,0.803,0.019,0.116,0.037
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.041,0.012,0.921,0.033,0.08
"P44","A los candidatos de la izquierda",0.006,0.026,0.002,0.803,0.041
"P44","No sabe",0.047,0.031,0.016,0.026,0.606
"P46","Jorge Macri por Juntos por el Cambio",0.914,0.011,0.648,0.058,0.508
"P46","Leandro Santoro por el Frente de Todos",0.029,0.971,0.03,0.452,0.089
"P46","No sabe",0.057,0.018,0.322,0.49,0.403
"P47","Soledad Acuña por Juntos por el Cambio",0.849,0.009,0.494,0.023,0.35
"P47","Leandro Santoro por el Frente de Todos",0.016,0.978,0.074,0.44,0.105
"P47","No sabe",0.135,0.013,0.432,0.537,0.545
"P48","Fernán Quirós por Juntos por el Cambio",0.906,0.029,0.544,0.043,0.542
"P48","Leandro Santoro por el Frente de Todos",0.021,0.953,0.054,0.44,0.077
"P48","No sabe",0.073,0.018,0.402,0.517,0.381
"P49","Martín Lousteau por Juntos por el Cambio",0.874,0.021,0.455,0.071,0.57
"P49","Leandro Santoro por el Frente de Todos",0.015,0.963,0.054,0.453,0.076
"P49","No sabe",0.111,0.016,0.491,0.476,0.354
"P50","María Eugenia Vidal por Juntos por el Cambio",0.901,0.009,0.448,0.047,0.414
"P50","Leandro Santoro por el Frente de Todos",0.025,0.978,0.049,0.456,0.122
"P50","No sabe",0.074,0.013,0.503,0.497,0.464
"P51","Muy buena",0.421,0.077,0.112,0.031,0.143
"P51","Buena",0.423,0.082,0.28,0.069,0.3
"P51","Ni buena ni mala",0.107,0.106,0.269,0.181,0.305
"P51","Mala",0.02,0.26,0.184,0.314,0.178
"P51","Muy mala",0.023,0.47,0.136,0.405,0.055
"P51","No sabe",0.006,0.005,0.019,0,0.019
"P52","Muy buena",0.417,0.024,0.199,0.021,0.197
"P52","Buena",0.34,0.028,0.236,0.016,0.195
"P52","Ni buena ni mala",0.176,0.138,0.333,0.085,0.32
"P52","Mala",0.029,0.246,0.114,0.384,0.155
"P52","Muy mala",0.021,0.535,0.077,0.487,0.107
"P52","No sabe",0.017,0.029,0.041,0.007,0.026
"P53","Muy buena",0.047,0.623,0.047,0.106,0.051
"P53","Buena",0.07,0.214,0.059,0.135,0.077
"P53","Ni buena ni mala",0.245,0.041,0.224,0.133,0.239
"P53","Mala",0.276,0.032,0.253,0.225,0.246
"P53","Muy mala",0.314,0.077,0.397,0.347,0.275
"P53","No sabe",0.048,0.013,0.02,0.054,0.112
"P54","Muy buena",0.397,0.071,0.088,0.017,0.151
"P54","Buena",0.348,0.014,0.199,0.021,0.257
"P54","Ni buena ni mala",0.147,0.031,0.279,0.094,0.219
"P54","Mala",0.063,0.138,0.202,0.195,0.17
"P54","Muy mala",0.044,0.739,0.227,0.673,0.171
"P54","No sabe",0.001,0.007,0.005,0,0.032
"P55","Muy buena",0.301,0.008,0.076,0.018,0.104
"P55","Buena",0.385,0.013,0.191,0.021,0.162
"P55","Ni buena ni mala",0.218,0.057,0.368,0.095,0.349
"P55","Mala",0.046,0.118,0.183,0.137,0.126
"P55","Muy mala",0.015,0.787,0.099,0.661,0.152
"P55","No sabe",0.035,0.017,0.083,0.068,0.107
"P56","Muy buena",0.318,0.018,0.096,0.06,0.239
"P56","Buena",0.329,0.04,0.122,0.054,0.189
"P56","Ni buena ni mala",0.22,0.126,0.282,0.126,0.268
"P56","Mala",0.093,0.328,0.237,0.355,0.127
"P56","Muy mala",0.028,0.484,0.254,0.363,0.117
"P56","No sabe",0.012,0.004,0.009,0.042,0.06
"P57","Muy buena",0.054,0.218,0.029,0.074,0.06
"P57","Buena",0.066,0.385,0.035,0.085,0.026
"P57","Ni buena ni mala",0.21,0.224,0.176,0.229,0.257
"P57","Mala",0.292,0.055,0.244,0.295,0.288
"P57","Muy mala",0.339,0.108,0.46,0.276,0.268
"P57","No sabe",0.039,0.01,0.056,0.041,0.101
"P58","Muy buena",0.467,0.016,0.373,0.037,0.292
"P58","Buena",0.258,0.044,0.228,0.023,0.222
"P58","Ni buena ni mala",0.177,0.09,0.231,0.086,0.257
"P58","Mala",0.052,0.12,0.053,0.127,0.068
"P58","Muy mala",0.033,0.729,0.101,0.727,0.088
"P58","No sabe",0.013,0.001,0.014,0,0.073
"P59","Muy buena",0.652,0.036,0.242,0.037,0.335
"P59","Buena",0.215,0.133,0.222,0.068,0.228
"P59","Ni buena ni mala",0.098,0.287,0.318,0.169,0.247
"P59","Mala",0.007,0.184,0.112,0.269,0.065
"P59","Muy mala",0.005,0.342,0.071,0.45,0.049
"P59","No sabe",0.023,0.018,0.035,0.007,0.076
"P60","Muy buena",0.054,0.356,0.035,0.065,0.054
"P60","Buena",0.03,0.328,0.034,0.139,0.054
"P60","Ni buena ni mala",0.144,0.147,0.182,0.309,0.128
"P60","Mala",0.267,0.044,0.17,0.137,0.248
"P60","Muy mala",0.458,0.084,0.469,0.301,0.388
"P60","No sabe",0.047,0.041,0.11,0.049,0.128
"P61","Muy buena",0.018,0.189,0.004,0.079,0.015
"P61","Buena",0.017,0.142,0,0.086,0.009
"P61","Ni buena ni mala",0.153,0.326,0.224,0.277,0.202
"P61","Mala",0.177,0.027,0.137,0.16,0.147
"P61","Muy mala",0.306,0.071,0.369,0.237,0.284
"P61","No sabe",0.329,0.245,0.266,0.161,0.343
"P62","Muy buena",0.015,0.159,0.001,0.014,0.012
"P62","Buena",0.015,0.457,0.003,0.082,0.024
"P62","Ni buena ni mala",0.032,0.286,0.042,0.185,0.078
"P62","Mala",0.129,0.066,0.113,0.46,0.163
"P62","Muy mala",0.786,0.019,0.826,0.259,0.659
"P62","No sabe",0.023,0.013,0.015,0,0.064
"P63","Muy buena",0.016,0.132,0.001,0.024,0.019
"P63","Buena",0.006,0.429,0.004,0.098,0.035
"P63","Ni buena ni mala",0.028,0.296,0.015,0.195,0.084
"P63","Mala",0.123,0.114,0.12,0.307,0.164
"P63","Muy mala",0.827,0.024,0.85,0.376,0.677
"P63","No sabe",0,0.005,0.01,0,0.021
"P64","Muy buena",0.008,0.756,0.011,0.163,0.06
"P64","Buena",0.007,0.144,0.017,0.251,0.038
"P64","Ni buena ni mala",0.011,0.067,0.011,0.064,0.04
"P64","Mala",0.069,0.011,0.092,0.257,0.127
"P64","Muy mala",0.902,0.022,0.856,0.265,0.728
