"var","categoria","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P46","Leandro Santoro por el Frente de Todos",0.023,0.958,0.034,0.485,0.077
"P46","No sabe",0.101,0.026,0.314,0.361,0.293
"P47","Soledad Acuña por Juntos por el Cambio",0.813,0.011,0.491,0.151,0.454
"P47","Leandro Santoro por el Frente de Todos",0.015,0.965,0.076,0.428,0.092
"P47","No sabe",0.172,0.024,0.433,0.421,0.454
"P48","Fernán Quirós por Juntos por el Cambio",0.913,0.037,0.52,0.105,0.529
"P48","Leandro Santoro por el Frente de Todos",0.012,0.937,0.055,0.481,0.088
"P48","No sabe",0.075,0.026,0.425,0.414,0.383
"P49","Martín Lousteau por Juntos por el Cambio",0.908,0.029,0.424,0.183,0.436
"P49","Leandro Santoro por el Frente de Todos",0.014,0.946,0.055,0.428,0.077
"P49","No sabe",0.078,0.025,0.521,0.389,0.487
"P50","María Eugenia Vidal por Juntos por el Cambio",0.88,0.013,0.451,0.117,0.469
"P50","Leandro Santoro por el Frente de Todos",0.021,0.965,0.049,0.494,0.113
"P50","No sabe",0.099,0.022,0.5,0.389,0.418
"P51","Muy buena",0.408,0.078,0.122,0.082,0.15
"P51","Buena",0.432,0.077,0.248,0.068,0.371
"P51","Ni buena ni mala",0.12,0.116,0.273,0.08,0.28
"P51","Mala",0.011,0.267,0.209,0.262,0.157
"P51","Muy mala",0.022,0.456,0.13,0.508,0.029
"P51","No sabe",0.007,0.006,0.018,0,0.013
"P52","Muy buena",0.395,0.025,0.217,0.014,0.264
"P52","Buena",0.335,0.022,0.229,0.028,0.262
"P52","Ni buena ni mala",0.193,0.135,0.318,0.132,0.287
"P52","Mala",0.041,0.259,0.116,0.256,0.105
"P52","Muy mala",0.016,0.529,0.081,0.563,0.073
"P52","No sabe",0.02,0.03,0.039,0.007,0.009
"P53","Muy buena",0.036,0.607,0.044,0.182,0.092
"P53","Buena",0.067,0.219,0.068,0.109,0.057
"P53","Ni buena ni mala",0.263,0.039,0.202,0.184,0.208
"P53","Mala",0.302,0.041,0.232,0.153,0.181
"P53","Muy mala",0.276,0.081,0.435,0.319,0.363
"P53","No sabe",0.056,0.013,0.019,0.053,0.099
"P54","Muy buena",0.386,0.067,0.088,0.108,0.178
"P54","Buena",0.343,0.014,0.211,0.023,0.276
"P54","Ni buena ni mala",0.158,0.03,0.257,0.137,0.224
"P54","Mala",0.069,0.137,0.199,0.188,0.163
"P54","Muy mala",0.044,0.745,0.24,0.544,0.117
"P54","No sabe",0,0.007,0.005,0,0.042
"P55","Muy buena",0.285,0.01,0.089,0.079,0.111
"P55","Buena",0.367,0.014,0.195,0.027,0.239
"P55","Ni buena ni mala",0.23,0.057,0.365,0.177,0.287
"P55","Mala",0.06,0.117,0.172,0.144,0.085
"P55","Muy mala",0.021,0.786,0.096,0.532,0.148
"P55","No sabe",0.037,0.016,0.083,0.041,0.13
"P56","Muy buena",0.34,0.023,0.077,0.107,0.159
"P56","Buena",0.34,0.04,0.112,0.046,0.175
"P56","Ni buena ni mala",0.219,0.138,0.29,0.165,0.207
"P56","Mala",0.076,0.328,0.244,0.268,0.21
"P56","Muy mala",0.013,0.467,0.268,0.373,0.172
"P56","No sabe",0.012,0.004,0.009,0.041,0.077
"P57","Muy buena",0.052,0.22,0.027,0.109,0.033
"P57","Buena",0.059,0.384,0.039,0.044,0.035
"P57","Ni buena ni mala",0.23,0.217,0.155,0.338,0.189
"P57","Mala",0.304,0.061,0.258,0.21,0.241
"P57","Muy mala",0.316,0.108,0.467,0.259,0.369
"P57","No sabe",0.039,0.01,0.054,0.04,0.133
"P58","Muy buena",0.43,0.016,0.407,0.074,0.388
"P58","Buena",0.265,0.046,0.243,0.042,0.148
"P58","Ni buena ni mala",0.193,0.086,0.204,0.178,0.244
"P58","Mala",0.056,0.121,0.05,0.113,0.059
"P58","Muy mala",0.045,0.73,0.083,0.593,0.056
"P58","No sabe",0.011,0.001,0.013,0,0.105
"P59","Muy buena",0.653,0.039,0.258,0.076,0.291
"P59","Buena",0.212,0.13,0.225,0.035,0.279
"P59","Ni buena ni mala",0.102,0.282,0.297,0.236,0.264
"P59","Mala",0.011,0.191,0.101,0.263,0.03
"P59","Muy mala",0.002,0.341,0.086,0.363,0.03
"P59","No sabe",0.02,0.017,0.033,0.027,0.106
"P60","Muy buena",0.052,0.347,0.034,0.131,0.04
"P60","Buena",0.029,0.324,0.044,0.124,0.023
"P60","Ni buena ni mala",0.162,0.147,0.153,0.33,0.091
"P60","Mala",0.279,0.044,0.17,0.149,0.21
"P60","Muy mala",0.432,0.098,0.484,0.198,0.506
"P60","No sabe",0.046,0.04,0.115,0.068,0.13
"P61","Muy buena",0.013,0.187,0.004,0.12,0.011
"P61","Buena",0.012,0.139,0.008,0.097,0.005
"P61","Ni buena ni mala",0.169,0.32,0.203,0.323,0.152
"P61","Mala",0.184,0.038,0.129,0.115,0.126
"P61","Muy mala",0.296,0.075,0.376,0.182,0.345
"P61","No sabe",0.326,0.241,0.28,0.163,0.361
"P62","Muy buena",0.007,0.154,0.001,0.08,0.016
"P62","Buena",0.011,0.449,0.009,0.056,0.024
"P62","Ni buena ni mala",0.041,0.279,0.044,0.169,0.048
"P62","Mala",0.147,0.081,0.096,0.373,0.119
"P62","Muy mala",0.771,0.025,0.834,0.322,0.713
"P62","No sabe",0.023,0.012,0.016,0,0.08
"P63","Muy buena",0.009,0.128,0.004,0.076,0.025
"P63","Buena",0.007,0.414,0.008,0.073,0.046
"P63","Ni buena ni mala",0.033,0.308,0.018,0.133,0.02
"P63","Mala",0.132,0.113,0.102,0.373,0.146
"P63","Muy mala",0.817,0.032,0.859,0.345,0.745
"P63","No sabe",0.002,0.005,0.009,0,0.018
"P64","Muy buena",0.002,0.742,0.012,0.221,0.04
"P64","Buena",0.006,0.141,0.02,0.21,0.05
"P64","Ni buena ni mala",0.018,0.061,0.014,0.062,0.021
"P64","Mala",0.084,0.021,0.081,0.218,0.076
"P64","Muy mala",0.886,0.035,0.861,0.275,0.813
"P64","No sabe",0.004,0,0.012,0.014,0
"P65","Muy buena",0.391,0.101,0.244,0.082,0.33
"P65","Buena",0.281,0.018,0.226,0.03,0.233
"P65","Ni buena ni mala",0.158,0.019,0.187,0.037,0.1
"P65","Mala",0.066,0.075,0.169,0.107,0.109
"P65","Muy mala",0.103,0.786,0.169,0.744,0.228
"P65","No sabe",0.001,0.001,0.005,0,0
"P66","Muy buena",0.315,0.036,0.055,0.066,0.095
"P66","Buena",0.433,0.016,0.138,0.063,0.217
"P66","Ni buena ni mala",0.191,0.056,0.197,0.097,0.279
"P66","Mala",0.038,0.174,0.267,0.091,0.252
"P66","Muy mala",0.021,0.718,0.338,0.683,0.157
"P66","No sabe",0.002,0,0.005,0,0
"P67","Muy buena",0.025,0.154,0.012,0.093,0.034
"P67","Buena",0.046,0.454,0.031,0.073,0.034
"P67","Ni buena ni mala",0.1,0.219,0.047,0.104,0.102
"P67","Mala",0.222,0.061,0.21,0.385,0.13
"P67","Muy mala",0.598,0.109,0.695,0.345,0.655
"P67","No sabe",0.009,0.003,0.005,0,0.045
"P68","Muy buena",0.563,0.028,0.465,0.139,0.485
"P68","Buena",0.219,0.054,0.26,0.006,0.142
"P68","Ni buena ni mala",0.1,0.033,0.093,0.082,0.107
"P68","Mala",0.043,0.092,0.052,0.05,0.021
"P68","Muy mala",0.069,0.79,0.122,0.723,0.21
"P68","No sabe",0.006,0.003,0.008,0,0.035
"P69","Muy buena",0.075,0.012,0.565,0.1,0.089
"P69","Buena",0.13,0.007,0.298,0,0.096
"P69","Ni buena ni mala",0.407,0.035,0.093,0.084,0.26
