"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P36","Al candidato del Frente de Izquierda",0.015,0.023,0.009,0.497,0.016
"P36","No sabe",0.172,0.084,0.015,0.072,0.368
"P37","Daniel Scioli por el Frente de Todos",0.787,0.047,0.012,0.246,0.206
"P37","Patricia Bullrich por Juntos por el Cambio",0.051,0.811,0.249,0.061,0.364
"P37","Javier Milei por los liberales libertarios",0.017,0.048,0.727,0.029,0.031
"P37","Al candidato del Frente de Izquierda",0.023,0.018,0.002,0.599,0.021
"P37","No sabe",0.122,0.076,0.01,0.065,0.378
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.143,0.689,0.041,0.143,0.122
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.637,0.184,0.037,0.142,0.231
"P38","Javier Milei presidente y su candidato a vice",0.028,0.042,0.88,0.029,0.061
"P38","A los candidatos de la izquierda",0.04,0.008,0.008,0.641,0.02
"P38","No sabe",0.152,0.077,0.034,0.045,0.566
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.074,0.762,0.207,0.088,0.308
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.695,0.084,0.023,0.185,0.204
"P39","Javier Milei presidente y su candidato a vice",0.016,0.038,0.754,0.031,0.037
"P39","A los candidatos de la izquierda",0.039,0.017,0.002,0.627,0.019
"P39","No sabe",0.176,0.099,0.014,0.069,0.432
"P40","Sergio Massa por el Frente de Todos",0.827,0.045,0.068,0.366,0.303
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.062,0.9,0.341,0.144,0.204
"P40","No sabe",0.111,0.055,0.591,0.49,0.493
"P41","Alberto Fernández por el Frente de Todos",0.883,0.028,0.056,0.353,0.185
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.927,0.397,0.129,0.244
"P41","No sabe",0.061,0.045,0.547,0.518,0.571
"P42","Sergio Massa por el Frente de Todos",0.847,0.049,0.041,0.407,0.289
"P42","Patricia Bullrich por Juntos por el Cambio",0.052,0.864,0.661,0.129,0.387
"P42","No sabe",0.101,0.087,0.298,0.464,0.324
"P43","Alberto Fernández por el Frente de Todos",0.899,0.03,0.047,0.394,0.192
"P43","Patricia Bullrich por Juntos por el Cambio",0.04,0.861,0.684,0.079,0.411
"P43","No sabe",0.061,0.109,0.269,0.527,0.397
"P44","Wado de Pedro por el Frente de Todos",0.8,0.026,0.037,0.51,0.253
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.919,0.44,0.179,0.267
"P44","No sabe",0.142,0.055,0.523,0.311,0.48
"P45","Daniel Scioli por el Frente de Todos",0.833,0.024,0.074,0.391,0.269
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.94,0.405,0.164,0.235
