"var","categoria","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P44","Muy mala",0.562,0.083,0.12,0.31,0.258,0.175,0.439,0.358
"P44","No sabe",0.088,0.075,0.155,0.081,0.044,0.132,0.119,0.223
"P45","Muy buena",0.014,0.254,0.099,0.061,0.492,0.259,0.168,0.053
"P45","Buena",0.024,0.337,0.23,0.165,0.165,0.272,0.087,0.11
"P45","Ni buena ni mala",0.083,0.285,0.349,0.305,0.089,0.277,0.082,0.185
"P45","Mala",0.193,0.045,0.114,0.11,0.117,0.082,0.138,0.162
"P45","Muy mala",0.637,0.04,0.127,0.311,0.129,0.063,0.432,0.337
"P45","No sabe",0.049,0.039,0.081,0.048,0.008,0.047,0.093,0.153
"P46","Muy buena",0.045,0.071,0.083,0.024,0.027,0.091,0.022,0.075
"P46","Buena",0.057,0.131,0.18,0.12,0.082,0.242,0.123,0.12
"P46","Ni buena ni mala",0.239,0.321,0.342,0.288,0.336,0.331,0.215,0.263
"P46","Mala",0.217,0.191,0.175,0.197,0.141,0.166,0.141,0.146
"P46","Muy mala",0.398,0.234,0.179,0.332,0.395,0.136,0.426,0.319
"P46","No sabe",0.044,0.052,0.041,0.039,0.019,0.034,0.073,0.077
"P47","Muy buena",0.208,0.024,0.04,0.021,0,0.011,0.041,0.037
"P47","Buena",0.301,0.027,0.055,0.172,0.053,0.042,0.033,0.122
"P47","Ni buena ni mala",0.264,0.093,0.135,0.263,0.055,0.095,0.149,0.25
"P47","Mala",0.1,0.16,0.148,0.115,0.127,0.089,0.201,0.105
"P47","Muy mala",0.091,0.675,0.542,0.404,0.754,0.719,0.464,0.392
"P47","No sabe",0.036,0.021,0.08,0.025,0.011,0.044,0.112,0.094
"P48","Muy buena",0.119,0.017,0.021,0.006,0,0.004,0.012,0.037
"P48","Buena",0.385,0.007,0.084,0.097,0.004,0.007,0.053,0.108
"P48","Ni buena ni mala",0.308,0.037,0.065,0.175,0.003,0.04,0.201,0.219
"P48","Mala",0.127,0.087,0.117,0.213,0.064,0.081,0.215,0.171
"P48","Muy mala",0.053,0.846,0.687,0.5,0.924,0.853,0.497,0.423
"P48","No sabe",0.008,0.006,0.026,0.009,0.005,0.015,0.022,0.042
"P49","Muy buena",0.13,0.016,0.013,0.051,0.006,0.016,0.043,0.071
"P49","Buena",0.315,0.014,0.085,0.053,0,0.005,0.065,0.088
"P49","Ni buena ni mala",0.298,0.042,0.057,0.174,0.003,0.025,0.143,0.226
"P49","Mala",0.161,0.068,0.153,0.23,0.096,0.089,0.182,0.139
"P49","Muy mala",0.089,0.857,0.686,0.486,0.895,0.855,0.545,0.454
"P49","No sabe",0.007,0.003,0.006,0.006,0,0.01,0.022,0.022
"P50","Muy buena",0.723,0.03,0.068,0.184,0.023,0.021,0.162,0.301
"P50","Buena",0.113,0.008,0.048,0.058,0.072,0.011,0.045,0.058
"P50","Ni buena ni mala",0.061,0.02,0.045,0.12,0.013,0.039,0.116,0.113
"P50","Mala",0.032,0.046,0.098,0.077,0.027,0.053,0.138,0.047
"P50","Muy mala",0.07,0.895,0.74,0.541,0.856,0.869,0.489,0.432
"P50","No sabe",0.001,0.001,0.001,0.02,0.009,0.007,0.05,0.049
"P51","Muy buena",0.105,0.395,0.323,0.114,0.084,0.113,0.144,0.102
"P51","Buena",0.023,0.244,0.213,0.134,0.235,0.186,0.058,0.055
"P51","Ni buena ni mala",0.012,0.152,0.158,0.174,0.239,0.208,0.109,0.132
"P51","Mala",0.141,0.037,0.145,0.142,0.096,0.186,0.155,0.161
"P51","Muy mala",0.708,0.169,0.154,0.433,0.346,0.301,0.534,0.528
"P51","No sabe",0.011,0.003,0.007,0.003,0,0.006,0,0.022
"P52","Muy buena",0.019,0.163,0.429,0.112,0.047,0.057,0.054,0.027
"P52","Buena",0.035,0.377,0.337,0.186,0.319,0.112,0.102,0.079
