"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.088,0.094,0.053,0.056
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.038,0.051,0.04,0.044
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.008,0.033,0.017,0.023
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.081,0.076,0.139,0.114
"P26","A los candidatos del Frente de Izquierda",0.028,0.069,0.09,0.071
"P26","No sabe",0.021,0.044,0.101,0.183
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.135,0.139,0.306,0.244
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.522,0.443,0.191,0.197
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.094,0.129,0.108,0.12
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.09,0.053,0.049,0.054
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.036,0.024,0.028
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.106,0.099,0.148,0.134
"P27","A los candidatos del Frente de Izquierda",0.004,0.03,0.048,0.042
"P27","No sabe",0.047,0.071,0.126,0.181
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.139,0.147,0.285,0.242
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.549,0.428,0.2,0.204
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.087,0.115,0.102,0.109
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.052,0.069,0.051,0.056
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.041,0.028,0.026
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.105,0.107,0.156,0.15
"P28","A los candidatos del Frente de Izquierda",0.005,0.025,0.04,0.044
"P28","No sabe",0.061,0.068,0.138,0.169
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.168,0.178,0.311,0.264
