"var","categoria","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.065,0.844,0.007,0.061,0.034
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.041,0.016,0.913,0.018,0.02
"P35","A los candidatos de la izquierda",0.003,0.031,0.018,0.812,0.013
"P35","No sabe",0.04,0.026,0.022,0.025,0.725
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.858,0.086,0.056,0.114,0.278
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.068,0.868,0.003,0.1,0.066
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.035,0.014,0.904,0,0.01
"P36","A los candidatos de la izquierda",0.002,0.018,0.01,0.741,0.014
"P36","No sabe",0.037,0.014,0.027,0.045,0.632
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.875,0.103,0.048,0.095,0.279
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.069,0.837,0.017,0.135,0.071
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.019,0.015,0.904,0.016,0.007
"P37","A los candidatos de la izquierda",0.004,0.019,0.005,0.72,0.004
"P37","No sabe",0.033,0.026,0.026,0.034,0.639
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.802,0.183,0.017,0.033,0.103
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.168,0.743,0.017,0.056,0.042
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.011,0.01,0.945,0.024,0.01
"P40","A los candidatos de la izquierda",0.002,0.027,0,0.863,0.013
"P40","No sabe",0.017,0.037,0.021,0.024,0.832
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.828,0.146,0.045,0.067,0.153
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.102,0.821,0.01,0.064,0.089
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.029,0.007,0.934,0.022,0.046
"P42","A los candidatos de la izquierda",0.002,0.003,0.001,0.76,0.02
"P42","No sabe",0.039,0.023,0.01,0.087,0.692
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.794,0.163,0.031,0.088,0.2
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.133,0.755,0.011,0.105,0.049
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.03,0.016,0.94,0.011,0.011
"P44","A los candidatos de la izquierda",0.001,0.03,0.001,0.726,0.037
"P44","No sabe",0.042,0.036,0.017,0.07,0.703
"P46","Jorge Macri por Juntos por el Cambio",0.88,0.088,0.647,0.075,0.47
"P46","Leandro Santoro por el Frente de Todos",0.068,0.882,0.033,0.438,0.127
"P46","No sabe",0.052,0.03,0.32,0.487,0.403
"P47","Soledad Acuña por Juntos por el Cambio",0.802,0.082,0.487,0.067,0.37
