"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","A Ricardo López Murphy como Jefe de Gobierno","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de izquierda","No sabe"
"P37","A los candidatos de la izquierda",0.007,0.019,0.006,0.005,0.037,0.03,0,0.413,0.351
"P37","No sabe",0.127,0.04,0.076,0.168,0.052,0.051,0.028,0.02,0.144
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.639,0.792,0.628,0.556,0.068,0.167,0.045,0.019,0.204
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.066,0.045,0.072,0.102,0.863,0.753,0.05,0.024,0.192
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.205,0.099,0.08,0.207,0.003,0.036,0.873,0.434,0.109
"P38","A los candidatos de la izquierda",0.003,0.014,0.039,0.005,0.026,0,0,0.518,0.33
"P38","No sabe",0.087,0.05,0.181,0.13,0.04,0.044,0.032,0.005,0.165
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.608,0.712,0.542,0.554,0.119,0.18,0.062,0.005,0.135
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.089,0.169,0.163,0.094,0.762,0.768,0.027,0.03,0.201
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.213,0.066,0.08,0.212,0.007,0.005,0.887,0.45,0.041
"P40","A los candidatos de la izquierda",0.003,0.015,0.036,0.009,0.048,0,0,0.502,0.301
"P40","No sabe",0.087,0.038,0.179,0.131,0.064,0.047,0.024,0.013,0.322
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.611,0.832,0.609,0.535,0.094,0.184,0.045,0.034,0.176
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.054,0.043,0.133,0.111,0.848,0.762,0.045,0.016,0.189
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.226,0.087,0.074,0.223,0.002,0.019,0.904,0.453,0.054
"P42","A los candidatos de la izquierda",0.002,0.006,0.017,0.008,0.008,0,0.004,0.458,0.367
"P42","No sabe",0.107,0.032,0.167,0.123,0.048,0.035,0.002,0.039,0.214
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.596,0.762,0.594,0.54,0.123,0.134,0.045,0.016,0.178
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.067,0.111,0.122,0.095,0.771,0.768,0.054,0.076,0.232
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.23,0.09,0.087,0.227,0.006,0.035,0.87,0.456,0.047
"P44","A los candidatos de la izquierda",0.011,0.023,0.021,0.002,0.043,0.01,0,0.412,0.317
"P44","No sabe",0.096,0.014,0.176,0.136,0.057,0.053,0.031,0.04,0.226
"P46","Jorge Macri por Juntos por el Cambio",0.948,0.87,0.658,0.814,0.009,0.103,0.474,0.259,0.284
"P46","Leandro Santoro por el Frente de Todos",0.021,0.045,0.088,0.057,0.968,0.767,0.087,0.323,0.317
"P46","No sabe",0.031,0.085,0.254,0.129,0.023,0.13,0.439,0.418,0.399
"P47","Soledad Acuña por Juntos por el Cambio",0.778,0.82,0.581,0.745,0.007,0.097,0.412,0.186,0.222
"P47","Leandro Santoro por el Frente de Todos",0.027,0.006,0.09,0.038,0.972,0.816,0.155,0.322,0.306
"P47","No sabe",0.195,0.174,0.329,0.217,0.021,0.087,0.433,0.492,0.472
"P48","Fernán Quirós por Juntos por el Cambio",0.841,0.891,0.739,0.783,0.037,0.123,0.369,0.223,0.368
"P48","Leandro Santoro por el Frente de Todos",0.027,0.018,0.086,0.061,0.935,0.797,0.115,0.322,0.278
"P48","No sabe",0.132,0.091,0.175,0.156,0.028,0.08,0.516,0.455,0.354
"P49","Martín Lousteau por Juntos por el Cambio",0.726,0.751,0.912,0.667,0.02,0.123,0.363,0.199,0.382
