"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P42","No sabe",0.133,0.227,0.266
"P43","Sergio Massa presidente por el Frente de Todos",0.201,0.041,0.542
"P43","Javier Milei por los liberales libertarios",0.349,0.901,0.068
"P43","No sabe",0.45,0.058,0.39
"P45","Muy buena",0.106,0.006,0.061
"P45","Buena",0.046,0.088,0.227
"P45","Ni buena ni mala",0.088,0.038,0.381
"P45","Mala",0.137,0.101,0.106
"P45","Muy mala",0.616,0.767,0.197
"P45","No sabe",0.007,0,0.028
"P46","Muy buena",0.04,0.012,0.105
"P46","Buena",0.052,0.024,0.213
"P46","Ni buena ni mala",0.092,0.045,0.344
"P46","Mala",0.154,0.092,0.1
"P46","Muy mala",0.658,0.82,0.22
"P46","No sabe",0.004,0.007,0.018
"P47","Muy buena",0.111,0.029,0.484
"P47","Buena",0.034,0.028,0.118
"P47","Ni buena ni mala",0.052,0.03,0.103
"P47","Mala",0.092,0.059,0.052
"P47","Muy mala",0.708,0.85,0.235
"P47","No sabe",0.003,0.004,0.008
"P48","Muy buena",0.265,0.186,0.098
"P48","Buena",0.294,0.213,0.072
"P48","Ni buena ni mala",0.167,0.243,0.088
"P48","Mala",0.108,0.123,0.182
"P48","Muy mala",0.164,0.235,0.544
"P48","No sabe",0.002,0,0.016
"P49","Muy buena",0.299,0.067,0.049
"P49","Buena",0.388,0.195,0.077
"P49","Ni buena ni mala",0.161,0.275,0.187
"P49","Mala",0.074,0.177,0.203
"P49","Muy mala",0.071,0.272,0.452
"P49","No sabe",0.007,0.014,0.032
"P50","Muy buena",0.083,0.013,0.121
"P50","Buena",0.074,0.068,0.267
"P50","Ni buena ni mala",0.186,0.069,0.291
"P50","Mala",0.175,0.169,0.097
"P50","Muy mala",0.481,0.667,0.188
"P50","No sabe",0.001,0.014,0.036
"P51","Muy buena",0.341,0.387,0.121
"P51","Buena",0.251,0.268,0.068
"P51","Ni buena ni mala",0.177,0.129,0.109
"P51","Mala",0.069,0.066,0.11
"P51","Muy mala",0.157,0.142,0.559
"P51","No sabe",0.005,0.008,0.033
"P52","Muy buena",0.068,0.515,0.032
"P52","Buena",0.154,0.266,0.047
"P52","Ni buena ni mala",0.393,0.119,0.16
"P52","Mala",0.167,0.057,0.136
"P52","Muy mala",0.202,0.041,0.589
"P52","No sabe",0.016,0.002,0.036
"P53","Muy buena",0.285,0.163,0.058
"P53","Buena",0.265,0.232,0.089
"P53","Ni buena ni mala",0.218,0.263,0.145
"P53","Mala",0.081,0.153,0.124
"P53","Muy mala",0.144,0.185,0.552
"P53","No sabe",0.007,0.004,0.032
"P54","Muy buena",0.079,0.038,0.094
"P54","Buena",0.063,0.049,0.277
"P54","Ni buena ni mala",0.171,0.091,0.319
"P54","Mala",0.206,0.157,0.084
"P54","Muy mala",0.476,0.653,0.2
"P54","No sabe",0.005,0.012,0.026
"P55","Muy buena",0.12,0.038,0.046
"P55","Buena",0.206,0.105,0.128
"P55","Ni buena ni mala",0.345,0.266,0.359
"P55","Mala",0.168,0.172,0.157
"P55","Muy mala",0.139,0.332,0.215
"P55","No sabe",0.022,0.087,0.095
"P57","Siempre",0.318,0.311,0.304
"P57","Casi siempre",0.425,0.368,0.371
"P57","Casi nunca",0.178,0.226,0.223
"P57","Nunca, pero esta es una excepción",0.079,0.095,0.102
"P58","Si",0.605,0.606,0.601
"P58","No",0.395,0.394,0.399
