"var","categoria","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.822,0.062,0.202,0.131,0.076,0.061,0.03,0.162,0.385
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.05,0.555,0.664,0.554,0.423,0.339,0.03,0.022,0.043
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.027,0.24,0.064,0.073,0.198,0.421,0.91,0.633,0.069
"P36","A los candidatos del Frente de Izquierda",0.015,0.003,0.004,0.018,0.02,0.012,0.001,0.138,0.103
"P36","No sabe",0.086,0.14,0.066,0.224,0.283,0.167,0.029,0.045,0.4
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.833,0.054,0.22,0.092,0.048,0.061,0.035,0.17,0.407
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.055,0.778,0.515,0.549,0.454,0.398,0.057,0.043,0.051
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.021,0.126,0.102,0.08,0.233,0.376,0.881,0.603,0.056
"P37","A los candidatos del Frente de Izquierda",0.009,0,0.011,0.015,0.032,0.076,0.004,0.132,0.098
"P37","No sabe",0.082,0.042,0.152,0.264,0.233,0.089,0.023,0.052,0.388
"P38","Muy buena",0.581,0.092,0.163,0.094,0.044,0.072,0.014,0.055,0.328
"P38","Buena",0.264,0.051,0.107,0.093,0.048,0.031,0.02,0.09,0.174
"P38","Ni buena ni mala",0.068,0.031,0.075,0.043,0.154,0.066,0.179,0.191,0.172
"P38","Mala",0.043,0.098,0.13,0.187,0.164,0.134,0.092,0.142,0.09
"P38","Muy mala",0.041,0.714,0.524,0.573,0.584,0.697,0.688,0.515,0.199
"P38","No sabe",0.003,0.014,0.001,0.01,0.006,0,0.007,0.007,0.037
"P39","Muy buena",0.698,0.054,0.159,0.074,0.057,0.04,0.022,0.089,0.36
"P39","Buena",0.177,0.027,0.09,0.019,0.043,0.016,0.013,0.064,0.124
"P39","Ni buena ni mala",0.039,0.028,0.048,0.114,0.148,0,0.085,0.158,0.188
"P39","Mala",0.026,0.086,0.105,0.146,0.163,0.159,0.096,0.084,0.097
"P39","Muy mala",0.059,0.795,0.592,0.625,0.586,0.778,0.772,0.594,0.187
"P39","No sabe",0.001,0.01,0.006,0.022,0.003,0.007,0.012,0.011,0.044
"P40","Muy buena",0.294,0.033,0.09,0.032,0.054,0.04,0.026,0.023,0.112
"P40","Buena",0.285,0.032,0.104,0.037,0.025,0.008,0.015,0.028,0.154
"P40","Ni buena ni mala",0.228,0.137,0.22,0.191,0.301,0.06,0.157,0.198,0.303
"P40","Mala",0.041,0.166,0.129,0.146,0.157,0.128,0.123,0.106,0.115
"P40","Muy mala",0.044,0.467,0.281,0.352,0.313,0.54,0.444,0.457,0.133
"P40","No sabe",0.108,0.165,0.176,0.242,0.15,0.224,0.235,0.188,0.183
"P41","Muy buena",0.034,0.203,0.305,0.255,0.127,0.11,0.032,0.016,0.022
"P41","Buena",0.045,0.332,0.283,0.196,0.206,0.215,0.128,0.066,0.098
"P41","Ni buena ni mala",0.201,0.251,0.165,0.242,0.348,0.418,0.335,0.164,0.258
"P41","Mala",0.292,0.068,0.11,0.122,0.124,0.147,0.194,0.221,0.216
"P41","Muy mala",0.383,0.1,0.097,0.107,0.138,0.063,0.221,0.442,0.297
"P41","No sabe",0.045,0.046,0.04,0.078,0.057,0.047,0.09,0.091,0.109
"P42","Muy buena",0.018,0.286,0.194,0.274,0.121,0.048,0.039,0.015,0.011
"P42","Buena",0.032,0.353,0.238,0.278,0.17,0.3,0.141,0.106,0.044
