"var","categoria","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.653,0.319,0.238,0.238,0.119,0.037,0.163,0.231
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.246,0.555,0.412,0.314,0.199,0.035,0.166,0.146
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.015,0.069,0.108,0.225,0.384,0.907,0.058,0.166
"P31","A los candidatos del Frente de Izquierda",0.02,0.002,0.03,0.035,0.035,0.001,0.502,0.052
"P31","No sabe",0.066,0.055,0.212,0.188,0.263,0.02,0.111,0.405
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.644,0.196,0.334,0.183,0.056,0.021,0.071,0.083
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.268,0.387,0.551,0.286,0.242,0.021,0.043,0.09
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.022,0.223,0.054,0.235,0.454,0.925,0.092,0.157
"P32","A los candidatos del Frente de Izquierda",0.015,0.005,0.006,0.074,0.005,0.002,0.673,0.063
"P32","No sabe",0.051,0.189,0.055,0.222,0.243,0.031,0.121,0.607
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.641,0.316,0.252,0.197,0.149,0.037,0.076,0.117
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.27,0.555,0.374,0.283,0.221,0.029,0.105,0.088
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.019,0.084,0.153,0.225,0.401,0.901,0.078,0.145
"P33","A los candidatos del Frente de Izquierda",0.022,0,0.021,0.038,0.006,0.002,0.646,0.055
"P33","No sabe",0.048,0.045,0.2,0.257,0.223,0.031,0.095,0.595
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.63,0.223,0.351,0.262,0.114,0.052,0.113,0.201
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.256,0.4,0.509,0.328,0.234,0.017,0.087,0.161
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.211,0.084,0.204,0.418,0.892,0.073,0.142
"P34","A los candidatos del Frente de Izquierda",0.022,0.005,0,0.035,0.022,0.011,0.618,0.056
"P34","No sabe",0.08,0.161,0.056,0.171,0.212,0.028,0.109,0.44
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.848,0.052,0.099,0.227,0.068,0.037,0.227,0.302
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.053,0.832,0.553,0.349,0.284,0.046,0.039,0.081
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.008,0.079,0.121,0.22,0.419,0.885,0.074,0.144
"P35","A los candidatos del Frente de Izquierda",0.019,0.002,0.012,0.05,0.007,0.002,0.57,0.045
"P35","No sabe",0.072,0.035,0.215,0.154,0.222,0.03,0.09,0.428
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.865,0.029,0.049,0.173,0.055,0.023,0.405,0.374
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.027,0.587,0.819,0.36,0.247,0.034,0.01,0.072
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.01,0.238,0.079,0.25,0.479,0.918,0.077,0.149
"P36","A los candidatos del Frente de Izquierda",0.011,0.003,0.002,0.047,0.005,0.001,0.426,0.018
"P36","No sabe",0.087,0.143,0.051,0.17,0.214,0.024,0.082,0.387
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.877,0.022,0.039,0.155,0.056,0.018,0.452,0.381
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.014,0.846,0.629,0.388,0.273,0.047,0.037,0.06
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.014,0.093,0.131,0.252,0.447,0.914,0.077,0.163
"P37","A los candidatos del Frente de Izquierda",0.013,0.001,0.011,0.047,0.005,0.001,0.388,0.014
"P37","No sabe",0.082,0.038,0.19,0.158,0.219,0.02,0.046,0.382
"P38","Muy buena",0.603,0.074,0.055,0.091,0.063,0.006,0.182,0.315
"P38","Buena",0.264,0.047,0.049,0.124,0.091,0.02,0.205,0.159
"P38","Ni buena ni mala",0.074,0.033,0.074,0.129,0.1,0.168,0.147,0.149
"P38","Mala",0.028,0.099,0.2,0.157,0.067,0.104,0.234,0.081
"P38","Muy mala",0.023,0.735,0.619,0.495,0.679,0.693,0.212,0.282
"P38","No sabe",0.008,0.012,0.003,0.004,0,0.009,0.02,0.014
"P39","Muy buena",0.736,0.027,0.017,0.077,0.163,0.011,0.215,0.348
"P39","Buena",0.171,0.013,0.052,0.065,0,0.01,0.195,0.138
"P39","Ni buena ni mala",0.047,0.026,0.095,0.12,0.035,0.069,0.251,0.14
"P39","Mala",0.02,0.095,0.146,0.137,0.06,0.09,0.118,0.093
"P39","Muy mala",0.022,0.826,0.685,0.599,0.712,0.803,0.201,0.266
"P39","No sabe",0.004,0.013,0.005,0.002,0.03,0.017,0.02,0.015
"P40","Muy buena",0.311,0.016,0.021,0.102,0.031,0.013,0.092,0.118
"P40","Buena",0.302,0.023,0.021,0.055,0,0.012,0.12,0.14
"P40","Ni buena ni mala",0.222,0.137,0.259,0.221,0.135,0.136,0.302,0.277
"P40","Mala",0.024,0.174,0.17,0.169,0.155,0.111,0.112,0.105
"P40","Muy mala",0.02,0.491,0.294,0.287,0.552,0.498,0.203,0.195
"P40","No sabe",0.121,0.159,0.235,0.166,0.127,0.23,0.171,0.165
"P41","Muy buena",0.033,0.219,0.351,0.117,0.079,0.033,0.015,0.038
"P41","Buena",0.055,0.316,0.318,0.156,0.205,0.127,0.074,0.088
"P41","Ni buena ni mala",0.195,0.255,0.161,0.318,0.429,0.312,0.113,0.247
"P41","Mala",0.294,0.082,0.045,0.194,0.099,0.171,0.313,0.204
"P41","Muy mala",0.356,0.091,0.075,0.183,0.139,0.27,0.425,0.327
"P41","No sabe",0.067,0.037,0.05,0.032,0.049,0.087,0.06,0.096
"P42","Muy buena",0.006,0.33,0.204,0.093,0.029,0.042,0,0.031
"P42","Buena",0.022,0.358,0.292,0.186,0.288,0.144,0.006,0.092
"P42","Ni buena ni mala",0.146,0.221,0.257,0.326,0.375,0.326,0.04,0.205
"P42","Mala",0.247,0.035,0.094,0.136,0.143,0.158,0.247,0.168
"P42","Muy mala",0.515,0.03,0.051,0.21,0.157,0.227,0.647,0.393
"P42","No sabe",0.064,0.026,0.102,0.049,0.008,0.103,0.06,0.111
"P43","Muy buena",0.01,0.234,0.079,0.062,0.008,0.027,0.034,0.024
"P43","Buena",0.012,0.316,0.131,0.199,0.268,0.091,0.04,0.046
"P43","Ni buena ni mala",0.198,0.279,0.443,0.333,0.379,0.345,0.052,0.232
"P43","Mala",0.19,0.019,0.088,0.083,0.168,0.082,0.192,0.15
"P43","Muy mala",0.416,0.032,0.059,0.15,0.049,0.212,0.5,0.327
"P43","No sabe",0.174,0.12,0.2,0.173,0.128,0.243,0.182,0.221
"P44","Muy buena",0.01,0.097,0.042,0.051,0.084,0.08,0.034,0.02
"P44","Buena",0.008,0.247,0.103,0.107,0.085,0.143,0.041,0.044
"P44","Ni buena ni mala",0.126,0.436,0.421,0.319,0.521,0.348,0.079,0.19
"P44","Mala",0.197,0.089,0.137,0.186,0.092,0.088,0.121,0.157
"P44","Muy mala",0.557,0.064,0.117,0.23,0.187,0.196,0.64,0.437
"P44","No sabe",0.102,0.067,0.18,0.107,0.031,0.145,0.085,0.152
"P45","Muy buena",0.012,0.26,0.095,0.111,0.545,0.239,0.039,0.052
"P45","Buena",0.005,0.34,0.236,0.198,0.152,0.289,0.077,0.061
"P45","Ni buena ni mala",0.086,0.285,0.384,0.301,0.105,0.25,0.037,0.164
"P45","Mala",0.181,0.055,0.117,0.163,0.104,0.067,0.163,0.18
"P45","Muy mala",0.647,0.03,0.083,0.18,0.094,0.084,0.65,0.443
"P45","No sabe",0.069,0.03,0.085,0.047,0,0.071,0.034,0.1
"P46","Muy buena",0.047,0.08,0.089,0.046,0.059,0.079,0.003,0.045
"P46","Buena",0.059,0.111,0.218,0.252,0.141,0.214,0.1,0.076
"P46","Ni buena ni mala",0.226,0.329,0.365,0.224,0.421,0.34,0.099,0.28
"P46","Mala",0.22,0.198,0.14,0.17,0.172,0.141,0.16,0.204
"P46","Muy mala",0.395,0.241,0.135,0.275,0.193,0.163,0.613,0.347
"P46","No sabe",0.053,0.041,0.053,0.033,0.014,0.063,0.025,0.048
"P47","Muy buena",0.214,0.024,0.035,0.021,0.052,0.006,0.027,0.083
"P47","Buena",0.328,0.02,0.041,0.163,0.059,0.032,0.105,0.127
"P47","Ni buena ni mala",0.241,0.102,0.163,0.103,0.136,0.097,0.206,0.316
"P47","Mala",0.086,0.164,0.131,0.155,0.069,0.093,0.197,0.14
"P47","Muy mala",0.091,0.668,0.546,0.522,0.598,0.718,0.431,0.267
"P47","No sabe",0.04,0.022,0.084,0.036,0.086,0.054,0.034,0.067
"P48","Muy buena",0.136,0.016,0.027,0.002,0,0.004,0.015,0.024
"P48","Buena",0.428,0.015,0.025,0.049,0.066,0.007,0.101,0.112
"P48","Ni buena ni mala",0.3,0.025,0.071,0.139,0.16,0.027,0.244,0.301
"P48","Mala",0.113,0.085,0.137,0.126,0.028,0.085,0.319,0.194
"P48","Muy mala",0.015,0.851,0.73,0.656,0.729,0.858,0.321,0.331
"P48","No sabe",0.008,0.008,0.01,0.028,0.017,0.019,0,0.038
"P49","Muy buena",0.164,0.016,0.009,0.025,0.021,0.015,0.042,0.022
"P49","Buena",0.363,0.011,0.034,0.057,0.103,0.003,0.053,0.082
