"var","categoria","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.005,0.129,0.894,0.024,0.013
"P34","A los candidatos del Frente de Izquierda",0.062,0.006,0.002,0.775,0.005
"P34","No sabe",0.081,0.126,0.023,0.013,0.594
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.815,0.053,0.033,0.108,0.206
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.058,0.88,0.043,0.019,0.084
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.001,0.028,0.906,0.013,0.013
"P35","A los candidatos del Frente de Izquierda",0.051,0.003,0.003,0.821,0.007
"P35","No sabe",0.075,0.036,0.015,0.039,0.69
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.953,0.017,0.01,0.029,0.054
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.024,0.74,0.042,0.051,0.16
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.001,0.133,0.943,0.024,0.013
"P36","A los candidatos del Frente de Izquierda",0.011,0.002,0,0.83,0.006
"P36","No sabe",0.011,0.108,0.005,0.066,0.767
"P38","Muy buena",0.616,0.075,0.006,0.077,0.101
"P38","Buena",0.27,0.067,0.01,0.096,0.115
"P38","Ni buena ni mala",0.074,0.026,0.17,0.159,0.166
"P38","Mala",0.027,0.111,0.104,0.478,0.148
"P38","Muy mala",0.009,0.711,0.701,0.186,0.44
"P38","No sabe",0.004,0.01,0.009,0.004,0.03
"P39","Muy buena",0.729,0.022,0.011,0.116,0.162
"P39","Buena",0.181,0.016,0.01,0.114,0.126
"P39","Ni buena ni mala",0.051,0.032,0.079,0.287,0.179
"P39","Mala",0.017,0.107,0.105,0.224,0.108
"P39","Muy mala",0.015,0.813,0.782,0.254,0.405
"P39","No sabe",0.007,0.01,0.013,0.005,0.02
"P40","Muy buena",0.304,0.017,0.018,0.073,0.057
"P40","Buena",0.303,0.019,0.01,0.095,0.065
"P40","Ni buena ni mala",0.247,0.154,0.148,0.299,0.252
"P40","Mala",0.026,0.177,0.126,0.182,0.129
"P40","Muy mala",0.017,0.458,0.501,0.137,0.228
"P40","No sabe",0.103,0.175,0.197,0.214,0.269
"P41","Muy buena",0.043,0.258,0.05,0.015,0.067
"P41","Buena",0.059,0.335,0.128,0.067,0.13
"P41","Ni buena ni mala",0.183,0.222,0.305,0.1,0.349
"P41","Mala",0.279,0.061,0.185,0.429,0.156
"P41","Muy mala",0.397,0.078,0.252,0.331,0.165
"P41","No sabe",0.039,0.046,0.08,0.058,0.133
"P42","Muy buena",0.006,0.316,0.052,0.009,0.052
"P42","Buena",0.026,0.347,0.175,0.01,0.133
"P42","Ni buena ni mala",0.13,0.218,0.321,0.098,0.31
"P42","Mala",0.239,0.034,0.159,0.362,0.143
"P42","Muy mala",0.559,0.043,0.206,0.469,0.185
"P42","No sabe",0.04,0.042,0.087,0.052,0.177
"P43","Muy buena",0.016,0.203,0.038,0,0.027
"P43","Buena",0.017,0.306,0.111,0.01,0.04
