"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.507,0.469,0.145,0.344,0.407,0.869
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.193,0.12,0.198,0.404,0.181,0.072
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.16,0.328,0.566,0.035,0.412,0.059
"P17_imputada","Los candidatos a presidente de la Izquierda",0.038,0.05,0.015,0,0,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.034,0.029,0.056,0.217,0,0
"P17_imputada","En blanco",0.068,0.004,0.02,0,0,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.692,0.502,0.168,0.561,0.39,0.575
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.087,0.303,0.406,0.367,0.403,0.086
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.212,0.141,0.242,0.072,0.117,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.005,0.046,0.035,0,0.09,0
"P20_imputada","En blanco",0.004,0.008,0.149,0,0,0.339
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.347,0.27,0.102,0.397,0.42,0.411
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.186,0.302,0.153,0.241,0.289,0.037
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.099,0.275,0.331,0,0.112,0.014
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.08,0.041,0.189,0.075,0.166,0.046
"P23_imputada","El candidato a intendente de la Izquierda",0.221,0.097,0.093,0,0.013,0.492
"P23_imputada","En blanco",0.067,0.015,0.132,0.287,0,0
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.6,0.534,0.265,0.293,0.232,0.48
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.137,0.153,0.227,0.12,0.408,0.305
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.142,0.258,0.464,0.505,0.354,0.187
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.052,0.023,0.011,0,0.006,0.004
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.045,0.028,0.02,0.082,0,0
"PRESIDENTE_imputada","En blanco",0.024,0.004,0.013,0,0,0.024
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.659,0.561,0.268,0.375,0.221,0.352
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.088,0.203,0.325,0.113,0.552,0.31
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.175,0.187,0.337,0.512,0.165,0.176
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.041,0.022,0.022,0,0.062,0.004
"GOBERNADOR_imputada","En blanco",0.037,0.027,0.048,0,0,0.158
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.522,0.435,0.242,0.308,0.238,0.299
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.11,0.217,0.235,0.083,0.479,0.295
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.136,0.247,0.363,0.498,0.181,0.181
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.04,0.029,0.084,0.014,0.091,0.016
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.122,0.045,0.044,0,0.011,0.185
"INTENDENTE_imputada","En blanco",0.07,0.027,0.032,0.097,0,0.024
