"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.082,0.647,0.082,0.069,0.1
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.084,0.159,0.634,0.048,0.172
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.044,0.025,0.062,0.052,0.042
"P37","En blanco",0.079,0.018,0.115,0.081,0.219
"P37","No sabe",0.079,0.066,0.019,0.332,0.218
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.631,0.086,0.086,0.319,0.227
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.05,0.739,0.085,0.086,0.154
"P38","Julio Zamora a intendente por un partido vecinal",0.221,0.045,0.177,0.149,0.056
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.036,0.063,0.551,0.023,0.185
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.017,0.005,0.089,0.041,0.175
"P38","En blanco",0.031,0.027,0.005,0.106,0.113
"P38","No sabe",0.014,0.035,0.007,0.276,0.09
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.644,0.08,0.083,0.441,0.256
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.091,0.726,0.138,0.093,0.206
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.076,0.082,0.568,0.071,0.228
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.033,0.024,0.096,0.056,0.072
"P39","En blanco",0.056,0.033,0.083,0.008,0.08
"P39","No sabe",0.1,0.055,0.032,0.331,0.158
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.452,0.278,0.089,0.197,0.169
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.223,0.525,0.121,0.214,0.312
"P40","Julio Zamora a intendente por un partido vecinal",0.207,0.059,0.178,0.159,0.137
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.021,0.075,0.494,0,0.136
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.018,0.004,0.091,0.064,0.064
"P40","En blanco",0.057,0.027,0.002,0.285,0.067
"P40","No sabe",0.022,0.032,0.025,0.081,0.115
"P41","Muy buena",0.314,0.125,0.051,0.046,0.172
"P41","Buena",0.216,0.115,0.036,0.218,0.157
"P41","Ni buena ni mala",0.234,0.13,0.127,0.153,0.212
"P41","Mala",0.086,0.156,0.187,0.082,0.186
"P41","Muy mala",0.139,0.457,0.587,0.501,0.227
"P41","No sabe",0.011,0.017,0.012,0,0.046
"P42","Muy buena",0.364,0.077,0.062,0.186,0.079
