"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P52","Muy buena",0.032,0.095,0.063,0.017,0.089
"P52","Buena",0.106,0.193,0.119,0.089,0.132
"P52","Ni buena ni mala",0.395,0.369,0.352,0.416,0.323
"P52","Mala",0.155,0.166,0.133,0.245,0.095
"P52","Muy mala",0.266,0.13,0.255,0.224,0.186
"P52","No sabe",0.046,0.047,0.078,0.009,0.175
"P53","Siempre",0.33,0.335,0.268,0.254,0.258
"P53","Casi siempre",0.442,0.417,0.358,0.524,0.417
"P53","Casi nunca",0.144,0.184,0.28,0.11,0.217
"P53","Nunca, pero esta es una excepción",0.084,0.064,0.094,0.112,0.108
"P54","Si",0.573,0.59,0.621,0.521,0.564
"P54","No",0.427,0.41,0.379,0.479,0.436
