"var","categoria","Wado de Pedro por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P58","Buena",0.172,0.184,0.078,0.072,0.254,0.235
"P58","Ni buena ni mala",0.336,0.373,0.39,0.132,0.334,0.276
"P58","Mala",0.172,0.165,0.123,0.176,0.164,0.104
"P58","Muy mala",0.169,0.216,0.274,0.125,0.127,0.14
"P58","No sabe",0.058,0.006,0.052,0.26,0.022,0.175
"P59","Muy buena",0.017,0.074,0.054,0.03,0.063,0.013
"P59","Buena",0.033,0.261,0.086,0,0.216,0.079
"P59","Ni buena ni mala",0.197,0.36,0.275,0.395,0.375,0.396
"P59","Mala",0.172,0.117,0.13,0.122,0.094,0.069
"P59","Muy mala",0.515,0.123,0.285,0.163,0.18,0.213
"P59","No sabe",0.066,0.065,0.17,0.29,0.072,0.23
"P60","Siempre",0.301,0.316,0.247,0.31,0.159,0.285
"P60","Casi siempre",0.409,0.375,0.351,0.356,0.373,0.389
"P60","Casi nunca",0.218,0.25,0.272,0.119,0.371,0.193
"P60","Nunca, pero esta es una excepción",0.072,0.059,0.13,0.215,0.097,0.133
"P61","Si",0.598,0.52,0.486,0.412,0.529,0.552
"P61","No",0.402,0.48,0.514,0.588,0.471,0.448
